Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
86, -0.4191, 0.7959, 0.2041, 0.1613, -0.7844, 576.39
87, -0.4188, 0.7961, 0.2039, 0.1617, -0.7844, 577.15
88, -0.4194, 0.7966, 0.2034, 0.1623, -0.7851, 575.00
89, -0.4199, 0.7966, 0.2034, 0.1615, -0.7848, 576.74
90, -0.4236, 0.7976, 0.2024, 0.1599, -0.7859, 574.50
91, -0.4239, 0.7978, 0.2022, 0.1598, -0.7859, 575.58
92, -0.4234, 0.7977, 0.2023, 0.1602, -0.7860, 575.07
93, -0.4260, 0.7984, 0.2016, 0.1590, -0.7866, 576.52
94, -0.4265, 0.7985, 0.2015, 0.1586, -0.7866, 577.69
95, -0.4287, 0.7993, 0.2007, 0.1576, -0.7870, 575.46
96, -0.4298, 0.7998, 0.2002, 0.1576, -0.7876, 570.30
97, -0.4314, 0.8003, 0.1997, 0.1566, -0.7877, 570.93
98, -0.4321, 0.8005, 0.1995, 0.1566, -0.7883, 578.85
99, -0.4369, 0.8020, 0.1980, 0.1547, -0.7895, 573.23
100, -0.4354, 0.8018, 0.1982, 0.1555, -0.7891, 576.99
101, -0.4365, 0.8018, 0.1982, 0.1547, -0.7894, 589.29
102, -0.4397, 0.8030, 0.1970, 0.1533, -0.7900, 578.25
103, -0.4394, 0.8028, 0.1972, 0.1536, -0.7902, 575.07
104, -0.4403, 0.8034, 0.1966, 0.1533, -0.7903, 575.32
105, -0.4402, 0.8035, 0.1965, 0.1539, -0.7907, 575.46
106, -0.4422, 0.8040, 0.1960, 0.1528, -0.7910, 578.05
107, -0.4417, 0.8040, 0.1960, 0.1530, -0.7907, 576.90
108, -0.4426, 0.8044, 0.1956, 0.1535, -0.7917, 603.21
109, -0.4457, 0.8052, 0.1948, 0.1510, -0.7915, 620.27
110, -0.4456, 0.8054, 0.1946, 0.1517, -0.7919, 618.39
111, -0.4472, 0.8058, 0.1942, 0.1509, -0.7923, 617.58
112, -0.4486, 0.8064, 0.1936, 0.1501, -0.7923, 622.34
113, -0.4467, 0.8058, 0.1942, 0.1515, -0.7924, 623.35
114, -0.4524, 0.8075, 0.1925, 0.1485, -0.7934, 616.23
115, -0.4497, 0.8065, 0.1935, 0.1499, -0.7930, 613.91
116, -0.4513, 0.8070, 0.1930, 0.1492, -0.7934, 616.85
117, -0.4531, 0.8079, 0.1921, 0.1489, -0.7940, 617.47
118, -0.4540, 0.8082, 0.1918, 0.1482, -0.7939, 616.60
119, -0.4562, 0.8089, 0.1911, 0.1472, -0.7945, 614.70
120, -0.4548, 0.8084, 0.1916, 0.1477, -0.7941, 616.07
121, -0.4543, 0.8086, 0.1914, 0.1486, -0.7943, 615.43
122, -0.4574, 0.8092, 0.1908, 0.1467, -0.7949, 619.36
123, -0.4554, 0.8085, 0.1915, 0.1476, -0.7945, 617.82
124, -0.4590, 0.8097, 0.1903, 0.1461, -0.7954, 620.89
125, -0.4594, 0.8100, 0.1900, 0.1462, -0.7956, 620.96
126, -0.4609, 0.8106, 0.1894, 0.1455, -0.7958, 621.98
127, -0.4602, 0.8103, 0.1897, 0.1458, -0.7956, 620.63
128, -0.4633, 0.8113, 0.1887, 0.1445, -0.7965, 621.46
129, -0.4603, 0.8105, 0.1895, 0.1463, -0.7961, 619.63
130, -0.4657, 0.8121, 0.1879, 0.1431, -0.7967, 618.16
131, -0.4639, 0.8114, 0.1886, 0.1442, -0.7967, 616.91
132, -0.4663, 0.8122, 0.1878, 0.1433, -0.7974, 617.49
133, -0.4643, 0.8117, 0.1883, 0.1441, -0.7968, 616.83
134, -0.4647, 0.8121, 0.1879, 0.1444, -0.7970, 616.73
135, -0.4668, 0.8126, 0.1874, 0.1433, -0.7975, 619.57
136, -0.4676, 0.8130, 0.1870, 0.1432, -0.7978, 621.70
137, -0.4673, 0.8132, 0.1868, 0.1437, -0.7978, 619.33
138, -0.4711, 0.8138, 0.1862, 0.1414, -0.7987, 620.95
139, -0.4710, 0.8140, 0.1860, 0.1414, -0.7984, 621.03
140, -0.4706, 0.8139, 0.1861, 0.1416, -0.7984, 622.20
141, -0.4724, 0.8146, 0.1854, 0.1414, -0.7992, 616.08
142, -0.4745, 0.8154, 0.1846, 0.1401, -0.7992, 619.43
