Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
1, 1.4094, 0.3757, 0.6243, 0.7851, 138.74
2, 0.9175, 0.5241, 0.4759, 0.4416, 130.29
3, 0.7809, 0.5866, 0.4134, 0.3675, 125.50
4, 0.7081, 0.6234, 0.3766, 0.3315, 160.05
5, 0.6647, 0.6457, 0.3543, 0.3104, 125.23
6, 0.6337, 0.6615, 0.3385, 0.2952, 129.41
7, 0.6104, 0.6735, 0.3265, 0.2839, 107.16
8, 0.5924, 0.6816, 0.3184, 0.2740, 108.75
9, 0.5785, 0.6885, 0.3115, 0.2669, 145.79
10, 0.5679, 0.6941, 0.3059, 0.2620, 116.57
11, 0.5552, 0.6998, 0.3002, 0.2549, 142.14
12, 0.5460, 0.7036, 0.2964, 0.2497, 111.88
13, 0.5397, 0.7070, 0.2930, 0.2467, 121.29
14, 0.5295, 0.7111, 0.2889, 0.2406, 122.33
15, 0.5234, 0.7141, 0.2859, 0.2375, 118.26
16, 0.5145, 0.7177, 0.2823, 0.2323, 137.01
17, 0.5095, 0.7203, 0.2797, 0.2298, 109.57
18, 0.5027, 0.7228, 0.2772, 0.2255, 119.48
19, 0.4969, 0.7256, 0.2744, 0.2225, 112.65
20, 0.4917, 0.7278, 0.2722, 0.2195, 104.70
21, 0.4870, 0.7301, 0.2699, 0.2171, 109.82
22, 0.4807, 0.7324, 0.2676, 0.2131, 119.20
23, 0.4755, 0.7350, 0.2650, 0.2105, 106.92
24, 0.4741, 0.7360, 0.2640, 0.2101, 101.16
25, 0.4676, 0.7387, 0.2613, 0.2063, 100.80
26, 0.4649, 0.7400, 0.2600, 0.2049, 100.92
27, 0.4625, 0.7414, 0.2586, 0.2039, 110.58
28, 0.4589, 0.7427, 0.2573, 0.2017, 105.32
29, 0.4555, 0.7443, 0.2557, 0.1997, 102.83
30, 0.4510, 0.7464, 0.2536, 0.1974, 100.94
31, 0.4478, 0.7479, 0.2521, 0.1957, 100.89
32, 0.4441, 0.7498, 0.2502, 0.1939, 100.81
33, 0.4430, 0.7502, 0.2498, 0.1932, 120.18
34, 0.4371, 0.7527, 0.2473, 0.1898, 101.57
35, 0.4363, 0.7534, 0.2466, 0.1897, 107.59
36, 0.4328, 0.7546, 0.2454, 0.1874, 159.87
37, 0.4279, 0.7567, 0.2433, 0.1846, 120.11
38, 0.4272, 0.7575, 0.2425, 0.1847, 105.86
39, 0.4237, 0.7590, 0.2410, 0.1827, 101.61
40, 0.4204, 0.7603, 0.2397, 0.1807, 110.04
41, 0.4186, 0.7609, 0.2391, 0.1795, 123.21
42, 0.4179, 0.7620, 0.2380, 0.1799, 114.06
43, 0.4130, 0.7638, 0.2362, 0.1768, 102.54
44, 0.4114, 0.7646, 0.2354, 0.1760, 102.15
45, 0.4104, 0.7653, 0.2347, 0.1757, 105.31
46, 0.4069, 0.7669, 0.2331, 0.1738, 102.29
47, 0.4049, 0.7678, 0.2322, 0.1727, 107.18
48, 0.4059, 0.7678, 0.2322, 0.1737, 102.64
49, 0.4019, 0.7694, 0.2306, 0.1714, 100.30
50, 0.3997, 0.7704, 0.2296, 0.1701, 104.22
51, 0.3983, 0.7712, 0.2288, 0.1694, 125.41
52, 0.3961, 0.7719, 0.2281, 0.1680, 116.94
53, 0.3945, 0.7729, 0.2271, 0.1674, 102.31
54, 0.3922, 0.7741, 0.2259, 0.1663, 100.84
55, 0.3907, 0.7748, 0.2252, 0.1655, 99.86
56, 0.3897, 0.7755, 0.2245, 0.1652, 100.25
57, 0.3872, 0.7767, 0.2233, 0.1639, 100.24
58, 0.3860, 0.7770, 0.2230, 0.1630, 100.33
59, 0.3834, 0.7787, 0.2213, 0.1621, 100.69
60, 0.3832, 0.7787, 0.2213, 0.1619, 118.07
61, 0.3806, 0.7796, 0.2204, 0.1602, 101.60
62, 0.3785, 0.7806, 0.2194, 0.1591, 100.98
63, 0.3764, 0.7815, 0.2185, 0.1579, 130.44
64, 0.3749, 0.7825, 0.2175, 0.1575, 115.18
65, 0.3769, 0.7820, 0.2180, 0.1588, 100.76
66, 0.3735, 0.7832, 0.2168, 0.1567, 100.12
67, 0.3696, 0.7847, 0.2153, 0.1543, 113.12
68, 0.3706, 0.7849, 0.2151, 0.1554, 100.34
69, 0.3694, 0.7851, 0.2149, 0.1545, 101.20
70, 0.3692, 0.7856, 0.2144, 0.1548, 110.36
71, 0.3647, 0.7872, 0.2128, 0.1518, 100.97
72, 0.3668, 0.7868, 0.2132, 0.1536, 121.67
73, 0.3632, 0.7883, 0.2117, 0.1515, 100.13
74, 0.3639, 0.7881, 0.2119, 0.1520, 114.10
75, 0.3613, 0.7892, 0.2108, 0.1506, 99.37
76, 0.3601, 0.7898, 0.2102, 0.1498, 100.48
77, 0.3582, 0.7906, 0.2094, 0.1488, 101.33
78, 0.3574, 0.7911, 0.2089, 0.1485, 97.30
79, 0.3591, 0.7908, 0.2092, 0.1499, 100.74
80, 0.3556, 0.7920, 0.2080, 0.1476, 101.08
81, 0.3547, 0.7925, 0.2075, 0.1473, 100.83
82, 0.3526, 0.7937, 0.2063, 0.1463, 101.23
83, 0.3526, 0.7937, 0.2063, 0.1463, 100.83
84, 0.3513, 0.7942, 0.2058, 0.1454, 100.85
85, 0.3519, 0.7944, 0.2056, 0.1462, 100.77
86, 0.3499, 0.7949, 0.2051, 0.1448, 101.11
87, 0.3491, 0.7955, 0.2045, 0.1446, 101.09
88, 0.3493, 0.7960, 0.2040, 0.1452, 100.48
89, 0.3475, 0.7962, 0.2038, 0.1437, 101.24
90, 0.3458, 0.7971, 0.2029, 0.1429, 100.80
91, 0.3456, 0.7973, 0.2027, 0.1429, 100.59
92, 0.3455, 0.7974, 0.2026, 0.1429, 100.74
93, 0.3437, 0.7982, 0.2018, 0.1419, 101.55
94, 0.3434, 0.7983, 0.2017, 0.1418, 100.74
95, 0.3416, 0.7992, 0.2008, 0.1408, 100.93
96, 0.3404, 0.7998, 0.2002, 0.1402, 100.39
97, 0.3388, 0.8005, 0.1995, 0.1393, 100.86
98, 0.3387, 0.8006, 0.1994, 0.1393, 100.58
99, 0.3361, 0.8020, 0.1980, 0.1382, 100.99
100, 0.3365, 0.8022, 0.1978, 0.1386, 101.33
101, 0.3351, 0.8022, 0.1978, 0.1373, 100.89
102, 0.3329, 0.8034, 0.1966, 0.1363, 101.30
103, 0.3330, 0.8034, 0.1966, 0.1364, 100.91
104, 0.3339, 0.8036, 0.1964, 0.1375, 101.10
105, 0.3325, 0.8041, 0.1959, 0.1366, 101.09
106, 0.3310, 0.8047, 0.1953, 0.1356, 100.86
107, 0.3306, 0.8049, 0.1951, 0.1355, 101.04
108, 0.3316, 0.8048, 0.1952, 0.1365, 101.28
109, 0.3289, 0.8058, 0.1942, 0.1348, 100.74
110, 0.3290, 0.8060, 0.1940, 0.1350, 101.00
111, 0.3280, 0.8065, 0.1935, 0.1345, 101.01
112, 0.3277, 0.8068, 0.1932, 0.1345, 101.00
113, 0.3285, 0.8063, 0.1937, 0.1348, 101.24
114, 0.3238, 0.8084, 0.1916, 0.1322, 101.15
115, 0.3254, 0.8075, 0.1925, 0.1328, 101.54
116, 0.3247, 0.8080, 0.1920, 0.1327, 100.96
117, 0.3250, 0.8086, 0.1914, 0.1336, 100.97
118, 0.3226, 0.8091, 0.1909, 0.1317, 100.74
119, 0.3207, 0.8098, 0.1902, 0.1305, 101.21
120, 0.3223, 0.8092, 0.1908, 0.1316, 101.08
121, 0.3220, 0.8096, 0.1904, 0.1316, 101.01
122, 0.3198, 0.8104, 0.1896, 0.1302, 101.22
123, 0.3216, 0.8096, 0.1904, 0.1312, 101.07
124, 0.3182, 0.8111, 0.1889, 0.1292, 100.96
125, 0.3180, 0.8112, 0.1888, 0.1293, 101.13
126, 0.3168, 0.8120, 0.1880, 0.1287, 101.20
127, 0.3191, 0.8113, 0.1887, 0.1304, 101.25
128, 0.3168, 0.8124, 0.1876, 0.1292, 101.04
129, 0.3158, 0.8125, 0.1875, 0.1282, 101.35
130, 0.3135, 0.8134, 0.1866, 0.1269, 101.17
131, 0.3151, 0.8128, 0.1872, 0.1278, 101.02
132, 0.3135, 0.8135, 0.1865, 0.1270, 101.32
133, 0.3148, 0.8132, 0.1868, 0.1279, 101.24
134, 0.3144, 0.8136, 0.1864, 0.1279, 101.27
135, 0.3126, 0.8142, 0.1858, 0.1268, 100.92
136, 0.3128, 0.8144, 0.1856, 0.1271, 101.23
137, 0.3133, 0.8144, 0.1856, 0.1277, 100.49
138, 0.3098, 0.8154, 0.1846, 0.1253, 101.01
139, 0.3094, 0.8157, 0.1843, 0.1251, 101.21
140, 0.3097, 0.8156, 0.1844, 0.1252, 100.95
141, 0.3089, 0.8162, 0.1838, 0.1251, 100.98
142, 0.3087, 0.8164, 0.1836, 0.1251, 100.95
143, 0.3061, 0.8175, 0.1825, 0.1236, 99.77
144, 0.3076, 0.8168, 0.1832, 0.1244, 101.28
145, 0.3073, 0.8170, 0.1830, 0.1243, 101.22
146, 0.3057, 0.8178, 0.1822, 0.1234, 100.89
147, 0.3056, 0.8175, 0.1825, 0.1231, 101.01
148, 0.3070, 0.8175, 0.1825, 0.1245, 100.67
149, 0.3040, 0.8187, 0.1813, 0.1228, 101.21
150, 0.3030, 0.8191, 0.1809, 0.1220, 101.00
151, 0.3029, 0.8189, 0.1811, 0.1218, 100.92
152, 0.3042, 0.8187, 0.1813, 0.1230, 100.98
153, 0.3007, 0.8201, 0.1799, 0.1208, 100.35
154, 0.3029, 0.8190, 0.1810, 0.1219, 101.32
155, 0.3028, 0.8194, 0.1806, 0.1222, 101.06
156, 0.3040, 0.8192, 0.1808, 0.1232, 101.35
157, 0.3014, 0.8198, 0.1802, 0.1213, 100.89
158, 0.3005, 0.8207, 0.1793, 0.1211, 100.98
159, 0.2999, 0.8208, 0.1792, 0.1207, 101.35
160, 0.2999, 0.8211, 0.1789, 0.1210, 101.15
161, 0.2992, 0.8213, 0.1787, 0.1204, 101.32
162, 0.2978, 0.8219, 0.1781, 0.1197, 101.10
163, 0.2982, 0.8221, 0.1779, 0.1202, 101.12
164, 0.2960, 0.8227, 0.1773, 0.1187, 101.30
165, 0.2967, 0.8225, 0.1775, 0.1192, 100.93
166, 0.2958, 0.8229, 0.1771, 0.1187, 101.10
167, 0.2954, 0.8230, 0.1770, 0.1184, 101.17
168, 0.2956, 0.8232, 0.1768, 0.1189, 101.12
169, 0.2948, 0.8233, 0.1767, 0.1181, 101.06
170, 0.2955, 0.8230, 0.1770, 0.1185, 101.21
171, 0.2925, 0.8245, 0.1755, 0.1170, 101.19
172, 0.2929, 0.8248, 0.1752, 0.1177, 100.95
173, 0.2939, 0.8242, 0.1758, 0.1180, 101.29
174, 0.2921, 0.8249, 0.1751, 0.1170, 101.00
175, 0.2937, 0.8241, 0.1759, 0.1179, 101.21
176, 0.2917, 0.8253, 0.1747, 0.1169, 101.23
177, 0.2918, 0.8250, 0.1750, 0.1168, 100.99
178, 0.2904, 0.8256, 0.1744, 0.1160, 101.13
179, 0.2914, 0.8254, 0.1746, 0.1167, 101.09
180, 0.2901, 0.8258, 0.1742, 0.1159, 100.96
181, 0.2898, 0.8260, 0.1740, 0.1158, 101.31
182, 0.2887, 0.8263, 0.1737, 0.1150, 100.81
183, 0.2892, 0.8265, 0.1735, 0.1157, 101.04
184, 0.2886, 0.8267, 0.1733, 0.1153, 105.89
185, 0.2875, 0.8270, 0.1730, 0.1144, 101.16
186, 0.2888, 0.8266, 0.1734, 0.1154, 101.31
187, 0.2868, 0.8274, 0.1726, 0.1143, 100.95
188, 0.2877, 0.8271, 0.1729, 0.1148, 100.92
189, 0.2862, 0.8278, 0.1722, 0.1140, 101.07
190, 0.2888, 0.8271, 0.1729, 0.1159, 101.11
191, 0.2869, 0.8276, 0.1724, 0.1145, 101.10
192, 0.2857, 0.8281, 0.1719, 0.1138, 101.21
193, 0.2848, 0.8283, 0.1717, 0.1131, 101.32
194, 0.2867, 0.8284, 0.1716, 0.1151, 101.45
195, 0.2842, 0.8287, 0.1713, 0.1129, 101.04
196, 0.2837, 0.8291, 0.1709, 0.1128, 101.33
197, 0.2837, 0.8293, 0.1707, 0.1129, 101.05
198, 0.2841, 0.8290, 0.1710, 0.1131, 101.37
199, 0.2849, 0.8285, 0.1715, 0.1134, 101.26
200, 0.2841, 0.8294, 0.1706, 0.1135, 101.17
201, 0.2821, 0.8300, 0.1700, 0.1121, 100.99
202, 0.2819, 0.8301, 0.1699, 0.1120, 100.88
203, 0.2830, 0.8297, 0.1703, 0.1126, 101.06
204, 0.2830, 0.8299, 0.1701, 0.1129, 101.11
205, 0.2811, 0.8305, 0.1695, 0.1116, 101.34
206, 0.2801, 0.8308, 0.1692, 0.1110, 101.14
207, 0.2804, 0.8312, 0.1688, 0.1116, 101.15
208, 0.2814, 0.8303, 0.1697, 0.1117, 101.25
209, 0.2807, 0.8312, 0.1688, 0.1118, 101.12
210, 0.2808, 0.8309, 0.1691, 0.1117, 101.23
211, 0.2816, 0.8303, 0.1697, 0.1119, 101.33
212, 0.2786, 0.8320, 0.1680, 0.1106, 101.07
213, 0.2783, 0.8321, 0.1679, 0.1104, 101.08
214, 0.2783, 0.8320, 0.1680, 0.1103, 101.00
215, 0.2781, 0.8320, 0.1680, 0.1102, 100.85
216, 0.2771, 0.8326, 0.1674, 0.1097, 101.30
217, 0.2765, 0.8330, 0.1670, 0.1095, 101.12
218, 0.2794, 0.8322, 0.1678, 0.1117, 100.80
219, 0.2757, 0.8333, 0.1667, 0.1091, 101.10
220, 0.2751, 0.8336, 0.1664, 0.1087, 100.73
221, 0.2770, 0.8330, 0.1670, 0.1100, 101.25
222, 0.2747, 0.8336, 0.1664, 0.1083, 101.14
223, 0.2746, 0.8338, 0.1662, 0.1084, 100.96
224, 0.2761, 0.8331, 0.1669, 0.1092, 101.02
225, 0.2739, 0.8341, 0.1659, 0.1080, 101.28
226, 0.2744, 0.8339, 0.1661, 0.1083, 101.14
227, 0.2760, 0.8334, 0.1666, 0.1094, 100.99
228, 0.2750, 0.8337, 0.1663, 0.1087, 101.22
229, 0.2749, 0.8337, 0.1663, 0.1086, 100.91
230, 0.2734, 0.8347, 0.1653, 0.1081, 101.23
231, 0.2729, 0.8347, 0.1653, 0.1076, 100.96
232, 0.2751, 0.8344, 0.1656, 0.1095, 101.27
233, 0.2734, 0.8345, 0.1655, 0.1079, 101.18
234, 0.2719, 0.8353, 0.1647, 0.1072, 101.21
235, 0.2706, 0.8357, 0.1643, 0.1063, 100.96
236, 0.2721, 0.8350, 0.1650, 0.1072, 101.09
237, 0.2718, 0.8355, 0.1645, 0.1073, 101.06
238, 0.2705, 0.8360, 0.1640, 0.1065, 100.97
239, 0.2716, 0.8356, 0.1644, 0.1072, 101.18
240, 0.2715, 0.8356, 0.1644, 0.1071, 101.20
241, 0.2700, 0.8363, 0.1637, 0.1063, 100.95
242, 0.2697, 0.8366, 0.1634, 0.1063, 100.87
243, 0.2669, 0.8375, 0.1625, 0.1045, 100.92
244, 0.2688, 0.8368, 0.1632, 0.1056, 101.21
