Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
1, 0.9370, 0.3871, 0.6129, 0.7834, -0.4593, 513.86
2, 0.3130, 0.5414, 0.4586, 0.4449, -0.5905, 517.96
3, 0.1345, 0.6044, 0.3956, 0.3784, -0.6395, 517.04
4, 0.0419, 0.6392, 0.3608, 0.3456, -0.6646, 517.51
5, -0.0109, 0.6591, 0.3409, 0.3263, -0.6781, 516.81
6, -0.0495, 0.6734, 0.3266, 0.3116, -0.6878, 516.84
7, -0.0782, 0.6842, 0.3158, 0.3013, -0.6952, 516.55
8, -0.0970, 0.6905, 0.3095, 0.2934, -0.6999, 517.50
9, -0.1172, 0.6979, 0.3021, 0.2855, -0.7047, 518.01
10, -0.1324, 0.7030, 0.2970, 0.2793, -0.7087, 516.49
11, -0.1467, 0.7079, 0.2921, 0.2735, -0.7123, 517.56
12, -0.1585, 0.7115, 0.2885, 0.2686, -0.7156, 518.34
13, -0.1686, 0.7151, 0.2849, 0.2646, -0.7182, 516.92
14, -0.1804, 0.7190, 0.2810, 0.2598, -0.7212, 517.27
15, -0.1896, 0.7217, 0.2783, 0.2556, -0.7235, 516.56
16, -0.1992, 0.7249, 0.2751, 0.2513, -0.7256, 517.28
17, -0.2070, 0.7272, 0.2728, 0.2482, -0.7280, 517.61
18, -0.2148, 0.7296, 0.2704, 0.2445, -0.7297, 517.25
19, -0.2221, 0.7321, 0.2679, 0.2419, -0.7318, 516.36
20, -0.2297, 0.7343, 0.2657, 0.2385, -0.7338, 517.18
21, -0.2322, 0.7356, 0.2644, 0.2382, -0.7349, 517.06
22, -0.2428, 0.7385, 0.2615, 0.2325, -0.7368, 517.24
23, -0.2477, 0.7402, 0.2598, 0.2306, -0.7381, 515.79
24, -0.2533, 0.7420, 0.2580, 0.2285, -0.7398, 517.98
25, -0.2579, 0.7439, 0.2561, 0.2270, -0.7410, 517.08
26, -0.2637, 0.7453, 0.2547, 0.2243, -0.7427, 517.20
27, -0.2690, 0.7471, 0.2529, 0.2218, -0.7438, 518.07
28, -0.2752, 0.7490, 0.2510, 0.2190, -0.7453, 517.32
29, -0.2773, 0.7497, 0.2503, 0.2185, -0.7462, 517.77
30, -0.2851, 0.7523, 0.2477, 0.2155, -0.7483, 518.07
31, -0.2869, 0.7528, 0.2472, 0.2148, -0.7488, 517.18
32, -0.2927, 0.7547, 0.2453, 0.2123, -0.7502, 517.29
33, -0.2957, 0.7557, 0.2443, 0.2112, -0.7512, 517.62
34, -0.3011, 0.7574, 0.2426, 0.2088, -0.7525, 556.31
35, -0.3029, 0.7580, 0.2420, 0.2082, -0.7531, 572.13
36, -0.3090, 0.7597, 0.2403, 0.2054, -0.7547, 571.92
37, -0.3093, 0.7602, 0.2398, 0.2062, -0.7553, 569.71
38, -0.3164, 0.7623, 0.2377, 0.2024, -0.7565, 574.06
39, -0.3192, 0.7632, 0.2368, 0.2015, -0.7575, 569.54
40, -0.3237, 0.7644, 0.2356, 0.1994, -0.7586, 569.66
41, -0.3275, 0.7657, 0.2343, 0.1975, -0.7593, 570.74
42, -0.3303, 0.7666, 0.2334, 0.1966, -0.7603, 574.12
43, -0.3328, 0.7677, 0.2323, 0.1961, -0.7613, 572.65
44, -0.3342, 0.7681, 0.2319, 0.1958, -0.7619, 574.27
45, -0.3381, 0.7692, 0.2308, 0.1938, -0.7626, 574.29
46, -0.3420, 0.7704, 0.2296, 0.1917, -0.7633, 575.25
47, -0.3429, 0.7709, 0.2291, 0.1916, -0.7636, 574.41
48, -0.3446, 0.7715, 0.2285, 0.1912, -0.7643, 574.47
49, -0.3506, 0.7734, 0.2266, 0.1887, -0.7660, 575.72
50, -0.3515, 0.7736, 0.2264, 0.1881, -0.7659, 575.74
51, -0.3552, 0.7749, 0.2251, 0.1867, -0.7670, 574.63
52, -0.3560, 0.7750, 0.2250, 0.1864, -0.7674, 576.93
53, -0.3588, 0.7761, 0.2239, 0.1854, -0.7682, 574.15
54, -0.3590, 0.7765, 0.2235, 0.1860, -0.7684, 575.69
55, -0.3617, 0.7772, 0.2228, 0.1843, -0.7688, 575.20
56, -0.3674, 0.7790, 0.2210, 0.1817, -0.7702, 571.38
57, -0.3668, 0.7788, 0.2212, 0.1821, -0.7702, 570.67
58, -0.3698, 0.7798, 0.2202, 0.1811, -0.7711, 574.74
59, -0.3759, 0.7813, 0.2187, 0.1779, -0.7725, 572.86
60, -0.3740, 0.7809, 0.2191, 0.1794, -0.7724, 574.58
61, -0.3774, 0.7821, 0.2179, 0.1779, -0.7732, 572.14
62, -0.3795, 0.7828, 0.2172, 0.1768, -0.7736, 575.27
63, -0.3805, 0.7831, 0.2169, 0.1768, -0.7742, 572.98
64, -0.3816, 0.7836, 0.2164, 0.1762, -0.7743, 572.56
65, -0.3851, 0.7847, 0.2153, 0.1749, -0.7753, 574.04
66, -0.3877, 0.7856, 0.2144, 0.1736, -0.7757, 572.60
67, -0.3875, 0.7854, 0.2146, 0.1738, -0.7759, 572.66
68, -0.3883, 0.7859, 0.2141, 0.1740, -0.7764, 572.54
69, -0.3943, 0.7879, 0.2121, 0.1714, -0.7779, 571.53
70, -0.3924, 0.7874, 0.2126, 0.1728, -0.7778, 571.30
71, -0.3959, 0.7884, 0.2116, 0.1708, -0.7783, 573.68
72, -0.3979, 0.7887, 0.2113, 0.1691, -0.7783, 571.93
73, -0.3985, 0.7895, 0.2105, 0.1701, -0.7791, 571.03
74, -0.3992, 0.7896, 0.2104, 0.1693, -0.7789, 573.00
75, -0.4024, 0.7903, 0.2097, 0.1677, -0.7798, 572.06
76, -0.4032, 0.7907, 0.2093, 0.1677, -0.7803, 574.80
77, -0.4040, 0.7912, 0.2088, 0.1676, -0.7805, 574.87
78, -0.4068, 0.7919, 0.2081, 0.1665, -0.7814, 575.95
79, -0.4092, 0.7928, 0.2072, 0.1658, -0.7822, 575.03
80, -0.4112, 0.7935, 0.2065, 0.1646, -0.7823, 574.02
81, -0.4114, 0.7935, 0.2065, 0.1644, -0.7824, 574.14
82, -0.4127, 0.7937, 0.2063, 0.1639, -0.7828, 574.84
83, -0.4154, 0.7948, 0.2052, 0.1628, -0.7834, 573.84
84, -0.4182, 0.7955, 0.2045, 0.1613, -0.7840, 575.12
85, -0.4188, 0.7958, 0.2042, 0.1614, -0.7844, 572.66
86, -0.4183, 0.7959, 0.2041, 0.1624, -0.7847, 574.36
87, -0.4206, 0.7968, 0.2032, 0.1616, -0.7854, 574.58
88, -0.4188, 0.7963, 0.2037, 0.1623, -0.7848, 572.44
89, -0.4251, 0.7979, 0.2021, 0.1589, -0.7862, 574.91
90, -0.4222, 0.7973, 0.2027, 0.1610, -0.7858, 572.76
91, -0.4253, 0.7982, 0.2018, 0.1592, -0.7863, 571.65
92, -0.4262, 0.7984, 0.2016, 0.1587, -0.7865, 573.30
93, -0.4284, 0.7994, 0.2006, 0.1585, -0.7875, 573.28
94, -0.4285, 0.7995, 0.2005, 0.1582, -0.7872, 575.23
95, -0.4318, 0.8005, 0.1995, 0.1569, -0.7882, 574.18
96, -0.4323, 0.8004, 0.1996, 0.1564, -0.7883, 570.61
97, -0.4343, 0.8011, 0.1989, 0.1554, -0.7886, 569.11
98, -0.4322, 0.8008, 0.1992, 0.1566, -0.7880, 573.40
99, -0.4371, 0.8022, 0.1978, 0.1546, -0.7895, 574.21
100, -0.4369, 0.8021, 0.1979, 0.1545, -0.7893, 572.92
101, -0.4374, 0.8023, 0.1977, 0.1546, -0.7897, 574.38
102, -0.4388, 0.8028, 0.1972, 0.1542, -0.7902, 587.20
103, -0.4371, 0.8025, 0.1975, 0.1551, -0.7897, 574.97
104, -0.4412, 0.8035, 0.1965, 0.1532, -0.7908, 573.45
105, -0.4434, 0.8045, 0.1955, 0.1524, -0.7913, 574.80
106, -0.4435, 0.8044, 0.1956, 0.1519, -0.7910, 576.70
107, -0.4440, 0.8047, 0.1953, 0.1520, -0.7913, 573.26
108, -0.4454, 0.8051, 0.1949, 0.1516, -0.7919, 588.36
109, -0.4454, 0.8052, 0.1948, 0.1517, -0.7919, 617.75
110, -0.4443, 0.8050, 0.1950, 0.1525, -0.7918, 616.35
111, -0.4483, 0.8062, 0.1938, 0.1507, -0.7928, 614.62
112, -0.4488, 0.8063, 0.1937, 0.1502, -0.7928, 618.86
113, -0.4496, 0.8065, 0.1935, 0.1498, -0.7930, 623.12
114, -0.4517, 0.8072, 0.1928, 0.1491, -0.7936, 617.23
115, -0.4536, 0.8080, 0.1920, 0.1483, -0.7939, 612.65
116, -0.4524, 0.8078, 0.1922, 0.1497, -0.7943, 615.09
117, -0.4542, 0.8081, 0.1919, 0.1482, -0.7943, 614.93
118, -0.4546, 0.8084, 0.1916, 0.1484, -0.7946, 616.56
119, -0.4558, 0.8088, 0.1912, 0.1478, -0.7948, 614.40
120, -0.4561, 0.8090, 0.1910, 0.1477, -0.7947, 615.52
121, -0.4558, 0.8089, 0.1911, 0.1477, -0.7946, 615.11
122, -0.4592, 0.8099, 0.1901, 0.1462, -0.7955, 616.70
123, -0.4584, 0.8096, 0.1904, 0.1465, -0.7953, 615.55
124, -0.4594, 0.8099, 0.1901, 0.1461, -0.7955, 618.99
125, -0.4598, 0.8103, 0.1897, 0.1461, -0.7957, 617.97
126, -0.4617, 0.8110, 0.1890, 0.1452, -0.7960, 617.90
127, -0.4655, 0.8121, 0.1879, 0.1438, -0.7972, 617.97
