Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8025, 0.3837, 0.6163, 0.7746, 0.4116, 257.25
2, 1.1287, 0.5298, 0.4702, 0.4433, 0.2152, 261.12
3, 0.9530, 0.5896, 0.4104, 0.3744, 0.1683, 261.20
4, 0.8567, 0.6281, 0.3719, 0.3388, 0.1461, 261.12
5, 0.8016, 0.6509, 0.3491, 0.3185, 0.1340, 261.26
6, 0.7611, 0.6669, 0.3331, 0.3026, 0.1254, 261.23
7, 0.7332, 0.6788, 0.3212, 0.2924, 0.1195, 261.48
8, 0.7140, 0.6858, 0.3142, 0.2838, 0.1160, 261.60
9, 0.6941, 0.6935, 0.3065, 0.2757, 0.1119, 261.27
10, 0.6792, 0.6988, 0.3012, 0.2690, 0.1090, 261.10
11, 0.6668, 0.7035, 0.2965, 0.2638, 0.1065, 261.32
12, 0.6540, 0.7079, 0.2921, 0.2578, 0.1041, 261.34
13, 0.6441, 0.7114, 0.2886, 0.2536, 0.1019, 261.02
14, 0.6342, 0.7153, 0.2847, 0.2495, 0.1000, 261.31
15, 0.6259, 0.7177, 0.2823, 0.2450, 0.0987, 261.50
16, 0.6167, 0.7209, 0.2791, 0.2410, 0.0966, 261.26
17, 0.6101, 0.7235, 0.2765, 0.2380, 0.0956, 261.32
18, 0.6011, 0.7259, 0.2741, 0.2334, 0.0936, 261.40
19, 0.5957, 0.7282, 0.2718, 0.2312, 0.0927, 261.43
20, 0.5876, 0.7307, 0.2693, 0.2271, 0.0911, 261.22
21, 0.5857, 0.7318, 0.2682, 0.2266, 0.0909, 261.36
22, 0.5765, 0.7346, 0.2654, 0.2222, 0.0890, 261.30
23, 0.5723, 0.7364, 0.2636, 0.2204, 0.0884, 261.20
24, 0.5657, 0.7384, 0.2616, 0.2171, 0.0871, 261.54
25, 0.5620, 0.7401, 0.2599, 0.2157, 0.0863, 261.42
26, 0.5596, 0.7414, 0.2586, 0.2148, 0.0862, 261.20
27, 0.5518, 0.7434, 0.2566, 0.2105, 0.0847, 261.26
28, 0.5473, 0.7451, 0.2549, 0.2085, 0.0839, 261.28
29, 0.5452, 0.7462, 0.2538, 0.2078, 0.0835, 261.31
30, 0.5384, 0.7485, 0.2515, 0.2048, 0.0821, 261.32
31, 0.5373, 0.7491, 0.2509, 0.2044, 0.0820, 261.25
32, 0.5325, 0.7508, 0.2492, 0.2020, 0.0813, 261.10
33, 0.5289, 0.7520, 0.2480, 0.2003, 0.0805, 261.30
34, 0.5248, 0.7535, 0.2465, 0.1986, 0.0798, 261.30
35, 0.5236, 0.7542, 0.2458, 0.1980, 0.0797, 261.21
36, 0.5183, 0.7558, 0.2442, 0.1954, 0.0787, 261.13
37, 0.5184, 0.7561, 0.2439, 0.1958, 0.0787, 260.94
38, 0.5109, 0.7584, 0.2416, 0.1919, 0.0774, 261.07
39, 0.5084, 0.7594, 0.2406, 0.1910, 0.0767, 261.35
40, 0.5044, 0.7608, 0.2392, 0.1890, 0.0761, 261.00
41, 0.5008, 0.7618, 0.2382, 0.1871, 0.0755, 261.00
42, 0.4980, 0.7630, 0.2370, 0.1861, 0.0749, 261.02
43, 0.4971, 0.7638, 0.2362, 0.1858, 0.0750, 261.46
44, 0.4945, 0.7646, 0.2354, 0.1846, 0.0745, 261.39
45, 0.4909, 0.7656, 0.2344, 0.1828, 0.0737, 261.15
46, 0.4858, 0.7672, 0.2328, 0.1803, 0.0728, 261.15
47, 0.4872, 0.7673, 0.2327, 0.1814, 0.0732, 261.30
48, 0.4859, 0.7680, 0.2320, 0.1808, 0.0731, 261.36
49, 0.4795, 0.7702, 0.2298, 0.1778, 0.0719, 261.47
50, 0.4790, 0.7704, 0.2296, 0.1775, 0.0719, 261.44
51, 0.4742, 0.7719, 0.2281, 0.1752, 0.0708, 261.25
52, 0.4740, 0.7721, 0.2279, 0.1752, 0.0709, 261.46
53, 0.4727, 0.7730, 0.2270, 0.1750, 0.0706, 261.19
54, 0.4709, 0.7739, 0.2261, 0.1743, 0.0704, 260.85
55, 0.4690, 0.7742, 0.2258, 0.1731, 0.0701, 261.34
56, 0.4638, 0.7761, 0.2239, 0.1707, 0.0692, 261.44
57, 0.4647, 0.7759, 0.2241, 0.1712, 0.0694, 261.07
58, 0.4608, 0.7771, 0.2229, 0.1694, 0.0686, 261.18
59, 0.4567, 0.7786, 0.2214, 0.1674, 0.0679, 261.05
60, 0.4575, 0.7783, 0.2217, 0.1678, 0.0681, 261.09
61, 0.4545, 0.7797, 0.2203, 0.1666, 0.0676, 261.18
62, 0.4534, 0.7800, 0.2200, 0.1660, 0.0673, 261.00
63, 0.4523, 0.7809, 0.2191, 0.1659, 0.0672, 261.22
64, 0.4516, 0.7809, 0.2191, 0.1654, 0.0672, 261.39
65, 0.4477, 0.7824, 0.2176, 0.1636, 0.0664, 261.33
66, 0.4459, 0.7832, 0.2168, 0.1630, 0.0661, 261.40
67, 0.4464, 0.7830, 0.2170, 0.1632, 0.0663, 261.29
68, 0.4473, 0.7835, 0.2165, 0.1643, 0.0665, 261.39
