Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
1, 1.4116, 0.3754, 0.6246, 0.7869, 485.12
2, 0.9189, 0.5233, 0.4767, 0.4422, 252.99
3, 0.7833, 0.5851, 0.4149, 0.3684, 252.04
4, 0.7086, 0.6230, 0.3770, 0.3316, 253.20
5, 0.6649, 0.6454, 0.3546, 0.3103, 252.21
6, 0.6343, 0.6610, 0.3390, 0.2953, 252.26
7, 0.6130, 0.6723, 0.3277, 0.2853, 251.73
8, 0.5945, 0.6810, 0.3190, 0.2755, 252.26
9, 0.5814, 0.6875, 0.3125, 0.2689, 252.83
10, 0.5669, 0.6944, 0.3056, 0.2613, 253.95
11, 0.5577, 0.6989, 0.3011, 0.2566, 257.32
12, 0.5474, 0.7029, 0.2971, 0.2503, 258.52
13, 0.5388, 0.7069, 0.2931, 0.2458, 256.49
14, 0.5289, 0.7112, 0.2888, 0.2401, 254.62
15, 0.5243, 0.7137, 0.2863, 0.2379, 256.86
16, 0.5176, 0.7166, 0.2834, 0.2343, 296.75
17, 0.5103, 0.7201, 0.2799, 0.2304, 295.30
18, 0.5044, 0.7224, 0.2776, 0.2268, 297.35
19, 0.4987, 0.7249, 0.2751, 0.2236, 296.85
20, 0.4932, 0.7275, 0.2725, 0.2207, 297.04
21, 0.4884, 0.7296, 0.2704, 0.2180, 295.44
22, 0.4811, 0.7322, 0.2678, 0.2133, 270.03
23, 0.4784, 0.7340, 0.2660, 0.2124, 256.57
24, 0.4730, 0.7362, 0.2638, 0.2092, 256.06
25, 0.4708, 0.7376, 0.2624, 0.2085, 255.54
26, 0.4674, 0.7391, 0.2609, 0.2065, 256.49
27, 0.4600, 0.7422, 0.2578, 0.2022, 256.82
28, 0.4587, 0.7429, 0.2571, 0.2016, 256.44
29, 0.4549, 0.7447, 0.2553, 0.1996, 264.99
30, 0.4493, 0.7469, 0.2531, 0.1961, 261.63
31, 0.4503, 0.7475, 0.2525, 0.1978, 251.64
32, 0.4445, 0.7491, 0.2509, 0.1936, 252.97
33, 0.4433, 0.7509, 0.2491, 0.1942, 252.15
34, 0.4389, 0.7519, 0.2481, 0.1907, 252.51
35, 0.4374, 0.7528, 0.2472, 0.1901, 252.14
36, 0.4335, 0.7546, 0.2454, 0.1881, 252.92
37, 0.4292, 0.7560, 0.2440, 0.1852, 251.76
38, 0.4272, 0.7572, 0.2428, 0.1844, 252.29
39, 0.4261, 0.7577, 0.2423, 0.1838, 249.49
40, 0.4233, 0.7590, 0.2410, 0.1823, 252.31
41, 0.4209, 0.7600, 0.2400, 0.1809, 251.57
42, 0.4190, 0.7612, 0.2388, 0.1803, 253.39
43, 0.4154, 0.7626, 0.2374, 0.1780, 252.71
44, 0.4162, 0.7630, 0.2370, 0.1792, 252.65
45, 0.4120, 0.7647, 0.2353, 0.1767, 252.81
46, 0.4096, 0.7657, 0.2343, 0.1753, 249.34
47, 0.4088, 0.7666, 0.2334, 0.1754, 249.26
48, 0.4040, 0.7683, 0.2317, 0.1723, 251.02
49, 0.4035, 0.7685, 0.2315, 0.1720, 247.69
50, 0.4015, 0.7696, 0.2304, 0.1712, 250.96
51, 0.3985, 0.7706, 0.2294, 0.1691, 244.90
52, 0.3981, 0.7714, 0.2286, 0.1694, 250.38
53, 0.3958, 0.7719, 0.2281, 0.1677, 250.14
54, 0.3923, 0.7739, 0.2261, 0.1662, 250.79
55, 0.3937, 0.7737, 0.2263, 0.1674, 251.50
56, 0.3912, 0.7750, 0.2250, 0.1661, 252.25
