Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
1, 0.9387, 0.3868, 0.6132, 0.7849, -0.4594, 506.75
2, 0.3148, 0.5409, 0.4591, 0.4456, -0.5899, 516.51
3, 0.1340, 0.6044, 0.3956, 0.3778, -0.6393, 516.83
4, 0.0426, 0.6389, 0.3611, 0.3456, -0.6640, 516.05
5, -0.0099, 0.6588, 0.3412, 0.3263, -0.6774, 515.74
6, -0.0482, 0.6728, 0.3272, 0.3120, -0.6873, 517.13
7, -0.0757, 0.6835, 0.3165, 0.3022, -0.6944, 516.99
8, -0.0977, 0.6909, 0.3091, 0.2928, -0.6996, 516.80
9, -0.1170, 0.6977, 0.3023, 0.2850, -0.7043, 516.54
10, -0.1322, 0.7031, 0.2969, 0.2795, -0.7087, 515.97
11, -0.1479, 0.7082, 0.2918, 0.2728, -0.7124, 517.02
12, -0.1603, 0.7117, 0.2883, 0.2667, -0.7153, 517.84
13, -0.1686, 0.7153, 0.2847, 0.2642, -0.7175, 517.22
14, -0.1801, 0.7187, 0.2813, 0.2592, -0.7206, 516.22
15, -0.1890, 0.7216, 0.2784, 0.2557, -0.7231, 516.55
16, -0.1984, 0.7244, 0.2756, 0.2512, -0.7252, 516.27
17, -0.2067, 0.7272, 0.2728, 0.2477, -0.7272, 516.16
18, -0.2154, 0.7298, 0.2702, 0.2438, -0.7295, 516.49
19, -0.2193, 0.7314, 0.2686, 0.2426, -0.7306, 515.95
20, -0.2293, 0.7342, 0.2658, 0.2383, -0.7334, 516.43
21, -0.2343, 0.7360, 0.2640, 0.2367, -0.7350, 516.27
22, -0.2419, 0.7384, 0.2616, 0.2332, -0.7367, 516.24
23, -0.2504, 0.7409, 0.2591, 0.2289, -0.7384, 515.15
24, -0.2549, 0.7424, 0.2576, 0.2273, -0.7397, 517.24
25, -0.2593, 0.7440, 0.2560, 0.2262, -0.7414, 516.74
26, -0.2656, 0.7458, 0.2542, 0.2231, -0.7430, 516.61
27, -0.2714, 0.7477, 0.2523, 0.2206, -0.7443, 516.67
28, -0.2754, 0.7491, 0.2509, 0.2191, -0.7454, 516.44
29, -0.2797, 0.7505, 0.2495, 0.2179, -0.7470, 517.26
30, -0.2823, 0.7515, 0.2485, 0.2167, -0.7475, 516.90
31, -0.2878, 0.7532, 0.2468, 0.2143, -0.7489, 516.47
32, -0.2919, 0.7546, 0.2454, 0.2132, -0.7505, 516.73
33, -0.2966, 0.7559, 0.2441, 0.2104, -0.7512, 516.73
34, -0.3028, 0.7580, 0.2420, 0.2082, -0.7530, 550.73
35, -0.3038, 0.7583, 0.2417, 0.2078, -0.7532, 569.96
36, -0.3092, 0.7598, 0.2402, 0.2053, -0.7546, 570.39
37, -0.3143, 0.7615, 0.2385, 0.2030, -0.7558, 569.13
38, -0.3130, 0.7614, 0.2386, 0.2042, -0.7558, 572.54
39, -0.3212, 0.7637, 0.2363, 0.2000, -0.7575, 568.65
40, -0.3224, 0.7643, 0.2357, 0.2004, -0.7584, 569.11
41, -0.3260, 0.7655, 0.2345, 0.1985, -0.7590, 568.81
42, -0.3277, 0.7659, 0.2341, 0.1981, -0.7599, 572.16
43, -0.3344, 0.7678, 0.2322, 0.1945, -0.7611, 570.29
44, -0.3344, 0.7679, 0.2321, 0.1949, -0.7614, 571.53
45, -0.3393, 0.7698, 0.2302, 0.1932, -0.7627, 572.03
46, -0.3414, 0.7702, 0.2298, 0.1924, -0.7636, 571.96
47, -0.3442, 0.7715, 0.2285, 0.1916, -0.7643, 572.00
48, -0.3474, 0.7722, 0.2278, 0.1897, -0.7648, 575.41
49, -0.3490, 0.7728, 0.2272, 0.1890, -0.7652, 572.51
50, -0.3544, 0.7744, 0.2256, 0.1865, -0.7666, 574.95
51, -0.3563, 0.7753, 0.2247, 0.1863, -0.7673, 571.74
52, -0.3586, 0.7762, 0.2238, 0.1853, -0.7677, 574.45
53, -0.3597, 0.7764, 0.2236, 0.1854, -0.7687, 572.65
54, -0.3645, 0.7780, 0.2220, 0.1828, -0.7693, 573.76
55, -0.3643, 0.7782, 0.2218, 0.1836, -0.7697, 571.94
56, -0.3677, 0.7789, 0.2211, 0.1811, -0.7700, 570.82
57, -0.3656, 0.7785, 0.2215, 0.1832, -0.7702, 569.27
58, -0.3691, 0.7796, 0.2204, 0.1822, -0.7716, 573.13
59, -0.3722, 0.7805, 0.2195, 0.1797, -0.7714, 571.39
60, -0.3773, 0.7821, 0.2179, 0.1778, -0.7730, 572.54
