Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
1, 1.4070, 0.3768, 0.6232, 0.7838, 195.54
2, 0.9168, 0.5244, 0.4756, 0.4411, 252.63
3, 0.7807, 0.5863, 0.4137, 0.3670, 251.76
4, 0.7088, 0.6229, 0.3771, 0.3318, 253.18
5, 0.6641, 0.6462, 0.3538, 0.3102, 251.89
6, 0.6332, 0.6615, 0.3385, 0.2948, 252.22
7, 0.6102, 0.6734, 0.3266, 0.2836, 251.72
8, 0.5927, 0.6815, 0.3185, 0.2743, 252.27
9, 0.5774, 0.6892, 0.3108, 0.2665, 252.87
10, 0.5661, 0.6949, 0.3051, 0.2610, 254.00
11, 0.5559, 0.6996, 0.3004, 0.2556, 257.21
12, 0.5460, 0.7037, 0.2963, 0.2497, 257.73
13, 0.5366, 0.7082, 0.2918, 0.2448, 256.43
14, 0.5276, 0.7121, 0.2879, 0.2397, 254.78
15, 0.5216, 0.7145, 0.2855, 0.2361, 257.06
16, 0.5132, 0.7183, 0.2817, 0.2315, 296.82
17, 0.5082, 0.7207, 0.2793, 0.2289, 295.09
18, 0.4997, 0.7241, 0.2759, 0.2238, 297.44
19, 0.4962, 0.7263, 0.2737, 0.2224, 296.95
20, 0.4900, 0.7288, 0.2712, 0.2188, 297.10
21, 0.4858, 0.7304, 0.2696, 0.2162, 295.47
22, 0.4817, 0.7326, 0.2674, 0.2143, 270.05
23, 0.4771, 0.7345, 0.2655, 0.2116, 256.54
24, 0.4730, 0.7366, 0.2634, 0.2096, 256.06
25, 0.4679, 0.7388, 0.2612, 0.2067, 255.58
26, 0.4638, 0.7405, 0.2595, 0.2043, 256.52
27, 0.4592, 0.7425, 0.2575, 0.2016, 256.88
28, 0.4582, 0.7434, 0.2566, 0.2016, 256.45
29, 0.4549, 0.7452, 0.2548, 0.2001, 265.02
30, 0.4500, 0.7469, 0.2531, 0.1968, 261.61
31, 0.4490, 0.7480, 0.2520, 0.1970, 251.67
32, 0.4441, 0.7495, 0.2505, 0.1936, 252.98
33, 0.4405, 0.7509, 0.2491, 0.1914, 252.18
34, 0.4402, 0.7518, 0.2482, 0.1920, 252.47
35, 0.4324, 0.7545, 0.2455, 0.1869, 252.13
36, 0.4346, 0.7543, 0.2457, 0.1889, 252.89
37, 0.4297, 0.7563, 0.2437, 0.1860, 251.79
38, 0.4285, 0.7572, 0.2428, 0.1857, 252.29
39, 0.4238, 0.7588, 0.2412, 0.1827, 249.53
40, 0.4247, 0.7590, 0.2410, 0.1837, 252.29
41, 0.4212, 0.7600, 0.2400, 0.1812, 251.57
42, 0.4179, 0.7618, 0.2382, 0.1796, 253.39
43, 0.4153, 0.7627, 0.2373, 0.1780, 252.72
44, 0.4157, 0.7631, 0.2369, 0.1787, 252.66
45, 0.4120, 0.7647, 0.2353, 0.1767, 252.87
46, 0.4103, 0.7655, 0.2345, 0.1757, 249.37
47, 0.4062, 0.7670, 0.2330, 0.1732, 250.03
48, 0.4045, 0.7682, 0.2318, 0.1728, 251.83
49, 0.4011, 0.7693, 0.2307, 0.1704, 246.76
50, 0.4000, 0.7699, 0.2301, 0.1699, 250.33
51, 0.3993, 0.7704, 0.2296, 0.1698, 245.94
52, 0.3966, 0.7716, 0.2284, 0.1682, 250.06
53, 0.3962, 0.7719, 0.2281, 0.1681, 251.31
54, 0.3924, 0.7737, 0.2263, 0.1661, 251.42
55, 0.3917, 0.7745, 0.2255, 0.1663, 252.35
56, 0.3909, 0.7748, 0.2252, 0.1657, 252.26
57, 0.3888, 0.7759, 0.2241, 0.1647, 253.33
58, 0.3873, 0.7763, 0.2237, 0.1635, 252.89
59, 0.3846, 0.7778, 0.2222, 0.1623, 253.56
60, 0.3864, 0.7773, 0.2227, 0.1638, 253.12
61, 0.3829, 0.7785, 0.2215, 0.1613, 253.67
62, 0.3795, 0.7800, 0.2200, 0.1595, 253.46
63, 0.3790, 0.7802, 0.2198, 0.1593, 252.95
64, 0.3786, 0.7806, 0.2194, 0.1592, 251.76
65, 0.3785, 0.7813, 0.2187, 0.1598, 252.88
66, 0.3745, 0.7823, 0.2177, 0.1568, 252.89
67, 0.3736, 0.7829, 0.2171, 0.1565, 252.53
68, 0.3733, 0.7830, 0.2170, 0.1563, 252.55
69, 0.3716, 0.7841, 0.2159, 0.1557, 253.37
70, 0.3712, 0.7841, 0.2159, 0.1553, 252.88
71, 0.3711, 0.7847, 0.2153, 0.1558, 253.12
72, 0.3689, 0.7857, 0.2143, 0.1545, 252.72
73, 0.3653, 0.7867, 0.2133, 0.1520, 252.80
74, 0.3654, 0.7871, 0.2129, 0.1524, 253.11
75, 0.3638, 0.7881, 0.2119, 0.1519, 253.13
76, 0.3630, 0.7883, 0.2117, 0.1513, 252.94
77, 0.3628, 0.7882, 0.2118, 0.1510, 252.86
78, 0.3616, 0.7893, 0.2107, 0.1508, 252.58
79, 0.3602, 0.7897, 0.2103, 0.1499, 253.27
80, 0.3587, 0.7905, 0.2095, 0.1493, 252.81
81, 0.3563, 0.7914, 0.2086, 0.1477, 252.93
82, 0.3563, 0.7917, 0.2083, 0.1480, 253.17
83, 0.3541, 0.7925, 0.2075, 0.1466, 252.71
84, 0.3544, 0.7925, 0.2075, 0.1469, 253.10
85, 0.3520, 0.7937, 0.2063, 0.1457, 252.74
86, 0.3532, 0.7934, 0.2066, 0.1466, 252.84
87, 0.3499, 0.7949, 0.2051, 0.1447, 252.55
88, 0.3530, 0.7941, 0.2059, 0.1471, 252.97
89, 0.3506, 0.7949, 0.2051, 0.1455, 253.05
90, 0.3471, 0.7963, 0.2037, 0.1434, 253.42
91, 0.3483, 0.7958, 0.2042, 0.1441, 253.17
92, 0.3476, 0.7961, 0.2039, 0.1437, 252.82
93, 0.3444, 0.7977, 0.2023, 0.1421, 252.55
94, 0.3448, 0.7972, 0.2028, 0.1420, 250.08
95, 0.3443, 0.7979, 0.2021, 0.1422, 252.82
96, 0.3433, 0.7985, 0.2015, 0.1419, 253.05
97, 0.3413, 0.7992, 0.2008, 0.1405, 253.08
98, 0.3416, 0.7992, 0.2008, 0.1408, 253.03
99, 0.3380, 0.8008, 0.1992, 0.1388, 253.05
100, 0.3364, 0.8014, 0.1986, 0.1379, 252.86
101, 0.3376, 0.8013, 0.1987, 0.1389, 252.65
102, 0.3388, 0.8010, 0.1990, 0.1398, 252.72
103, 0.3362, 0.8017, 0.1983, 0.1379, 253.37
104, 0.3359, 0.8024, 0.1976, 0.1383, 253.36
105, 0.3349, 0.8028, 0.1972, 0.1377, 253.14
106, 0.3333, 0.8033, 0.1967, 0.1366, 253.39
107, 0.3354, 0.8026, 0.1974, 0.1379, 251.80
108, 0.3335, 0.8033, 0.1967, 0.1369, 253.23
109, 0.3334, 0.8038, 0.1962, 0.1373, 252.93
110, 0.3308, 0.8044, 0.1956, 0.1352, 253.19
111, 0.3321, 0.8042, 0.1958, 0.1364, 252.88
112, 0.3309, 0.8051, 0.1949, 0.1359, 253.62
113, 0.3275, 0.8063, 0.1937, 0.1339, 253.13
114, 0.3303, 0.8053, 0.1947, 0.1356, 252.69
115, 0.3267, 0.8068, 0.1932, 0.1335, 253.19
116, 0.3276, 0.8064, 0.1936, 0.1339, 253.40
117, 0.3265, 0.8071, 0.1929, 0.1336, 253.39
118, 0.3254, 0.8075, 0.1925, 0.1328, 252.96
119, 0.3241, 0.8079, 0.1921, 0.1320, 252.00
120, 0.3237, 0.8083, 0.1917, 0.1320, 252.82
121, 0.3222, 0.8089, 0.1911, 0.1311, 253.21
122, 0.3227, 0.8089, 0.1911, 0.1316, 252.96
123, 0.3218, 0.8091, 0.1909, 0.1310, 253.17
124, 0.3211, 0.8095, 0.1905, 0.1307, 253.31
125, 0.3200, 0.8104, 0.1896, 0.1304, 252.70
126, 0.3208, 0.8102, 0.1898, 0.1310, 249.83
127, 0.3190, 0.8108, 0.1892, 0.1298, 251.65
128, 0.3194, 0.8107, 0.1893, 0.1301, 248.46
129, 0.3201, 0.8105, 0.1895, 0.1305, 262.45
