Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8115, 0.3814, 0.6186, 0.7793, 0.4137, 104.35
2, 1.1320, 0.5284, 0.4716, 0.4445, 0.2160, 260.78
3, 0.9563, 0.5882, 0.4118, 0.3755, 0.1689, 261.13
4, 0.8598, 0.6269, 0.3731, 0.3400, 0.1467, 261.13
5, 0.8033, 0.6501, 0.3499, 0.3190, 0.1344, 261.19
6, 0.7649, 0.6656, 0.3344, 0.3044, 0.1261, 261.27
7, 0.7375, 0.6771, 0.3229, 0.2942, 0.1203, 261.27
8, 0.7154, 0.6855, 0.3145, 0.2845, 0.1164, 261.51
9, 0.6980, 0.6921, 0.3079, 0.2774, 0.1127, 261.63
10, 0.6815, 0.6986, 0.3014, 0.2707, 0.1094, 261.19
11, 0.6692, 0.7030, 0.2970, 0.2653, 0.1070, 261.11
12, 0.6563, 0.7069, 0.2931, 0.2587, 0.1044, 261.30
13, 0.6462, 0.7108, 0.2892, 0.2545, 0.1025, 261.32
14, 0.6342, 0.7148, 0.2852, 0.2490, 0.1000, 261.06
15, 0.6277, 0.7172, 0.2828, 0.2461, 0.0989, 261.33
16, 0.6206, 0.7200, 0.2800, 0.2433, 0.0973, 261.49
17, 0.6122, 0.7230, 0.2770, 0.2391, 0.0961, 261.19
18, 0.6037, 0.7255, 0.2745, 0.2348, 0.0944, 261.38
19, 0.5963, 0.7278, 0.2722, 0.2314, 0.0927, 261.41
20, 0.5906, 0.7301, 0.2699, 0.2289, 0.0917, 261.41
21, 0.5838, 0.7323, 0.2677, 0.2253, 0.0908, 261.19
22, 0.5755, 0.7346, 0.2654, 0.2213, 0.0888, 261.37
23, 0.5716, 0.7365, 0.2635, 0.2198, 0.0884, 261.32
24, 0.5669, 0.7382, 0.2618, 0.2178, 0.0873, 261.25
25, 0.5629, 0.7399, 0.2601, 0.2162, 0.0866, 261.54
26, 0.5591, 0.7411, 0.2589, 0.2143, 0.0860, 261.40
27, 0.5500, 0.7442, 0.2558, 0.2099, 0.0842, 261.21
28, 0.5485, 0.7447, 0.2553, 0.2091, 0.0841, 261.23
29, 0.5439, 0.7466, 0.2534, 0.2072, 0.0833, 261.20
30, 0.5370, 0.7486, 0.2514, 0.2036, 0.0820, 261.30
31, 0.5385, 0.7491, 0.2509, 0.2053, 0.0822, 261.36
32, 0.5316, 0.7507, 0.2493, 0.2012, 0.0811, 261.21
33, 0.5311, 0.7522, 0.2478, 0.2023, 0.0809, 261.15
34, 0.5243, 0.7534, 0.2466, 0.1979, 0.0799, 261.20
35, 0.5215, 0.7543, 0.2457, 0.1967, 0.0791, 261.41
36, 0.5177, 0.7560, 0.2440, 0.1951, 0.0787, 261.17
37, 0.5114, 0.7575, 0.2425, 0.1916, 0.0773, 261.05
38, 0.5104, 0.7584, 0.2416, 0.1915, 0.0773, 261.03
39, 0.5084, 0.7591, 0.2409, 0.1907, 0.0769, 261.06
40, 0.5044, 0.7604, 0.2396, 0.1886, 0.0761, 261.33
41, 0.5023, 0.7612, 0.2388, 0.1876, 0.0759, 260.99
42, 0.5002, 0.7623, 0.2377, 0.1871, 0.0753, 261.01
43, 0.4971, 0.7634, 0.2366, 0.1854, 0.0750, 260.94
44, 0.4965, 0.7641, 0.2359, 0.1857, 0.0749, 261.06
45, 0.4914, 0.7657, 0.2343, 0.1832, 0.0739, 261.38
46, 0.4883, 0.7666, 0.2334, 0.1815, 0.0734, 261.18
47, 0.4890, 0.7673, 0.2327, 0.1827, 0.0737, 261.23
48, 0.4820, 0.7690, 0.2310, 0.1787, 0.0723, 261.26
49, 0.4805, 0.7695, 0.2305, 0.1780, 0.0720, 261.39
50, 0.4793, 0.7704, 0.2296, 0.1777, 0.0719, 261.53
51, 0.4754, 0.7713, 0.2287, 0.1755, 0.0711, 261.43
52, 0.4750, 0.7720, 0.2280, 0.1758, 0.0712, 261.22
53, 0.4716, 0.7726, 0.2274, 0.1738, 0.0704, 261.54
54, 0.4678, 0.7745, 0.2255, 0.1726, 0.0697, 261.05
55, 0.4699, 0.7743, 0.2257, 0.1739, 0.0702, 260.77
56, 0.4669, 0.7754, 0.2246, 0.1725, 0.0697, 261.51
57, 0.4627, 0.7765, 0.2235, 0.1702, 0.0690, 261.39
58, 0.4638, 0.7764, 0.2236, 0.1711, 0.0692, 261.11
59, 0.4612, 0.7775, 0.2225, 0.1699, 0.0688, 261.25
60, 0.4575, 0.7785, 0.2215, 0.1680, 0.0681, 260.97
61, 0.4561, 0.7792, 0.2208, 0.1675, 0.0679, 261.22
62, 0.4555, 0.7794, 0.2206, 0.1671, 0.0677, 261.11
63, 0.4535, 0.7804, 0.2196, 0.1665, 0.0674, 261.01
64, 0.4497, 0.7814, 0.2186, 0.1644, 0.0667, 261.21
