Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
1, 1.4094, 0.3757, 0.6243, 0.7851, 394.79
2, 0.9175, 0.5241, 0.4759, 0.4416, 252.41
3, 0.7813, 0.5864, 0.4136, 0.3678, 251.77
4, 0.7082, 0.6233, 0.3767, 0.3315, 253.17
5, 0.6651, 0.6455, 0.3545, 0.3106, 252.25
6, 0.6338, 0.6614, 0.3386, 0.2952, 251.14
7, 0.6107, 0.6734, 0.3266, 0.2841, 248.01
8, 0.5926, 0.6815, 0.3185, 0.2741, 249.76
9, 0.5785, 0.6884, 0.3116, 0.2669, 250.96
10, 0.5677, 0.6941, 0.3059, 0.2618, 249.40
11, 0.5558, 0.6996, 0.3004, 0.2553, 251.72
12, 0.5464, 0.7035, 0.2965, 0.2499, 254.39
13, 0.5396, 0.7071, 0.2929, 0.2467, 251.20
14, 0.5299, 0.7110, 0.2890, 0.2408, 249.18
15, 0.5234, 0.7141, 0.2859, 0.2375, 248.67
16, 0.5148, 0.7176, 0.2824, 0.2324, 288.19
17, 0.5109, 0.7198, 0.2802, 0.2307, 294.77
18, 0.5029, 0.7227, 0.2773, 0.2255, 304.98
19, 0.4975, 0.7253, 0.2747, 0.2228, 294.13
20, 0.4932, 0.7274, 0.2726, 0.2206, 294.37
21, 0.4866, 0.7300, 0.2700, 0.2166, 294.10
22, 0.4822, 0.7319, 0.2681, 0.2141, 279.53
23, 0.4755, 0.7348, 0.2652, 0.2103, 255.11
24, 0.4736, 0.7360, 0.2640, 0.2096, 255.26
25, 0.4684, 0.7385, 0.2615, 0.2069, 255.38
26, 0.4661, 0.7396, 0.2604, 0.2057, 254.37
27, 0.4629, 0.7410, 0.2590, 0.2039, 255.68
28, 0.4595, 0.7424, 0.2576, 0.2019, 255.81
29, 0.4567, 0.7438, 0.2562, 0.2005, 254.97
30, 0.4516, 0.7460, 0.2540, 0.1976, 270.65
31, 0.4488, 0.7474, 0.2526, 0.1962, 249.66
32, 0.4449, 0.7493, 0.2507, 0.1942, 251.09
33, 0.4439, 0.7497, 0.2503, 0.1936, 251.23
34, 0.4377, 0.7524, 0.2476, 0.1901, 250.06
35, 0.4369, 0.7531, 0.2469, 0.1900, 250.75
36, 0.4338, 0.7541, 0.2459, 0.1880, 252.14
37, 0.4296, 0.7561, 0.2439, 0.1858, 252.55
38, 0.4281, 0.7570, 0.2430, 0.1851, 252.34
39, 0.4256, 0.7582, 0.2418, 0.1838, 249.65
40, 0.4214, 0.7598, 0.2402, 0.1812, 250.14
41, 0.4201, 0.7602, 0.2398, 0.1803, 250.32
42, 0.4193, 0.7613, 0.2387, 0.1806, 250.80
43, 0.4140, 0.7633, 0.2367, 0.1773, 252.09
44, 0.4127, 0.7638, 0.2362, 0.1766, 251.98
45, 0.4125, 0.7645, 0.2355, 0.1770, 252.04
46, 0.4082, 0.7662, 0.2338, 0.1744, 249.18
47, 0.4066, 0.7670, 0.2330, 0.1736, 243.99
48, 0.4075, 0.7671, 0.2329, 0.1746, 250.04
49, 0.4033, 0.7687, 0.2313, 0.1720, 249.71
50, 0.4022, 0.7693, 0.2307, 0.1715, 248.76
51, 0.4000, 0.7703, 0.2297, 0.1704, 243.12
52, 0.3976, 0.7712, 0.2288, 0.1688, 251.56
53, 0.3972, 0.7717, 0.2283, 0.1689, 248.23
54, 0.3939, 0.7732, 0.2268, 0.1671, 251.59
55, 0.3923, 0.7740, 0.2260, 0.1662, 251.79
56, 0.3922, 0.7744, 0.2256, 0.1666, 251.91
57, 0.3890, 0.7757, 0.2243, 0.1647, 253.44
58, 0.3878, 0.7760, 0.2240, 0.1638, 253.07
59, 0.3856, 0.7775, 0.2225, 0.1632, 253.25
60, 0.3851, 0.7777, 0.2223, 0.1628, 253.46
61, 0.3825, 0.7786, 0.2214, 0.1611, 253.45
62, 0.3802, 0.7797, 0.2203, 0.1599, 253.48
63, 0.3785, 0.7805, 0.2195, 0.1589, 253.28
64, 0.3768, 0.7815, 0.2185, 0.1583, 252.93
65, 0.3789, 0.7810, 0.2190, 0.1599, 251.80
66, 0.3755, 0.7822, 0.2178, 0.1577, 252.93
67, 0.3720, 0.7836, 0.2164, 0.1556, 252.48
68, 0.3727, 0.7838, 0.2162, 0.1566, 252.75
69, 0.3723, 0.7838, 0.2162, 0.1561, 253.06
70, 0.3712, 0.7845, 0.2155, 0.1557, 253.15
71, 0.3671, 0.7859, 0.2141, 0.1530, 253.01
72, 0.3693, 0.7856, 0.2144, 0.1548, 252.81
73, 0.3655, 0.7872, 0.2128, 0.1527, 252.46
74, 0.3662, 0.7869, 0.2131, 0.1531, 252.87
75, 0.3636, 0.7881, 0.2119, 0.1517, 253.15
76, 0.3628, 0.7885, 0.2115, 0.1513, 253.12
77, 0.3605, 0.7894, 0.2106, 0.1499, 252.76
78, 0.3597, 0.7898, 0.2102, 0.1495, 252.75
79, 0.3622, 0.7894, 0.2106, 0.1516, 252.87
80, 0.3572, 0.7909, 0.2091, 0.1482, 252.96
81, 0.3567, 0.7913, 0.2087, 0.1481, 252.71
82, 0.3552, 0.7924, 0.2076, 0.1476, 253.22
83, 0.3557, 0.7922, 0.2078, 0.1479, 252.72
84, 0.3540, 0.7928, 0.2072, 0.1468, 252.99
85, 0.3535, 0.7931, 0.2069, 0.1466, 252.98
86, 0.3524, 0.7936, 0.2064, 0.1460, 253.04
87, 0.3520, 0.7941, 0.2059, 0.1461, 252.75
88, 0.3514, 0.7948, 0.2052, 0.1461, 252.82
89, 0.3509, 0.7947, 0.2053, 0.1456, 252.96
90, 0.3481, 0.7958, 0.2042, 0.1439, 253.03
91, 0.3486, 0.7958, 0.2042, 0.1443, 253.37
92, 0.3479, 0.7960, 0.2040, 0.1440, 253.07
93, 0.3460, 0.7970, 0.2030, 0.1430, 252.65
94, 0.3459, 0.7969, 0.2031, 0.1429, 252.72
95, 0.3446, 0.7977, 0.2023, 0.1423, 249.43
96, 0.3433, 0.7983, 0.2017, 0.1415, 252.57
97, 0.3420, 0.7989, 0.2011, 0.1409, 253.12
98, 0.3415, 0.7991, 0.2009, 0.1407, 253.16
99, 0.3392, 0.8004, 0.1996, 0.1396, 253.13
100, 0.3397, 0.8004, 0.1996, 0.1402, 252.91
101, 0.3378, 0.8007, 0.1993, 0.1385, 252.62
102, 0.3361, 0.8017, 0.1983, 0.1378, 252.83
103, 0.3360, 0.8019, 0.1981, 0.1379, 252.94
104, 0.3367, 0.8020, 0.1980, 0.1387, 253.42
105, 0.3356, 0.8024, 0.1976, 0.1381, 253.40
106, 0.3342, 0.8030, 0.1970, 0.1372, 253.24
107, 0.3339, 0.8032, 0.1968, 0.1371, 252.98
108, 0.3335, 0.8036, 0.1964, 0.1372, 252.20
109, 0.3323, 0.8040, 0.1960, 0.1363, 253.03
110, 0.3320, 0.8044, 0.1956, 0.1364, 253.09
111, 0.3309, 0.8050, 0.1950, 0.1359, 252.84
112, 0.3300, 0.8054, 0.1946, 0.1354, 253.44
113, 0.3324, 0.8046, 0.1954, 0.1370, 253.42
114, 0.3268, 0.8069, 0.1931, 0.1337, 252.86
115, 0.3284, 0.8059, 0.1941, 0.1343, 253.16
116, 0.3277, 0.8064, 0.1936, 0.1340, 253.09
117, 0.3278, 0.8071, 0.1929, 0.1348, 253.58
118, 0.3261, 0.8073, 0.1927, 0.1334, 253.03
119, 0.3239, 0.8082, 0.1918, 0.1321, 253.03
120, 0.3254, 0.8075, 0.1925, 0.1329, 252.87
121, 0.3261, 0.8077, 0.1923, 0.1339, 252.77
122, 0.3228, 0.8087, 0.1913, 0.1315, 252.86
123, 0.3243, 0.8081, 0.1919, 0.1324, 253.49
124, 0.3216, 0.8093, 0.1907, 0.1309, 253.04
125, 0.3210, 0.8096, 0.1904, 0.1305, 253.48
126, 0.3201, 0.8102, 0.1898, 0.1303, 250.77
127, 0.3211, 0.8098, 0.1902, 0.1309, 251.01
128, 0.3198, 0.8107, 0.1893, 0.1305, 252.22
129, 0.3193, 0.8106, 0.1894, 0.1299, 250.64
130, 0.3169, 0.8116, 0.1884, 0.1285, 282.96
131, 0.3178, 0.8112, 0.1888, 0.1290, 285.62
132, 0.3167, 0.8117, 0.1883, 0.1284, 254.03
133, 0.3184, 0.8113, 0.1887, 0.1297, 250.79
134, 0.3173, 0.8119, 0.1881, 0.1292, 251.23
135, 0.3160, 0.8124, 0.1876, 0.1284, 280.54
136, 0.3161, 0.8126, 0.1874, 0.1287, 285.27
137, 0.3166, 0.8127, 0.1873, 0.1293, 284.85
138, 0.3131, 0.8137, 0.1863, 0.1268, 283.89
139, 0.3128, 0.8138, 0.1862, 0.1267, 285.32
140, 0.3128, 0.8139, 0.1861, 0.1267, 284.64
141, 0.3120, 0.8145, 0.1855, 0.1265, 286.83
142, 0.3105, 0.8151, 0.1849, 0.1256, 284.77
143, 0.3101, 0.8155, 0.1845, 0.1256, 286.64
144, 0.3121, 0.8147, 0.1853, 0.1268, 284.25
145, 0.3104, 0.8154, 0.1846, 0.1258, 286.76
146, 0.3092, 0.8159, 0.1841, 0.1251, 281.97
147, 0.3087, 0.8158, 0.1842, 0.1245, 285.87
148, 0.3101, 0.8158, 0.1842, 0.1259, 285.77
149, 0.3073, 0.8169, 0.1831, 0.1242, 285.45
150, 0.3063, 0.8173, 0.1827, 0.1236, 286.39
151, 0.3063, 0.8171, 0.1829, 0.1234, 284.81
152, 0.3073, 0.8169, 0.1831, 0.1242, 285.63
153, 0.3042, 0.8183, 0.1817, 0.1225, 286.33
154, 0.3062, 0.8173, 0.1827, 0.1234, 286.10
155, 0.3061, 0.8176, 0.1824, 0.1238, 286.27
156, 0.3077, 0.8173, 0.1827, 0.1250, 285.28
157, 0.3051, 0.8179, 0.1821, 0.1230, 284.93
158, 0.3042, 0.8188, 0.1812, 0.1230, 285.10
159, 0.3040, 0.8187, 0.1813, 0.1227, 284.57
160, 0.3036, 0.8191, 0.1809, 0.1227, 286.67
161, 0.3027, 0.8194, 0.1806, 0.1221, 286.03
162, 0.3018, 0.8198, 0.1802, 0.1216, 284.65
163, 0.3020, 0.8200, 0.1800, 0.1220, 286.16
164, 0.2998, 0.8206, 0.1794, 0.1205, 285.40
165, 0.3004, 0.8205, 0.1795, 0.1209, 286.00
166, 0.2998, 0.8208, 0.1792, 0.1206, 286.52
167, 0.2992, 0.8209, 0.1791, 0.1201, 285.76
168, 0.2995, 0.8211, 0.1789, 0.1206, 286.09
169, 0.2990, 0.8211, 0.1789, 0.1201, 286.07
170, 0.2997, 0.8208, 0.1792, 0.1205, 286.10
171, 0.2965, 0.8224, 0.1776, 0.1189, 286.17
172, 0.2966, 0.8227, 0.1773, 0.1193, 285.87
173, 0.2977, 0.8221, 0.1779, 0.1198, 286.21
174, 0.2964, 0.8226, 0.1774, 0.1190, 287.08
175, 0.2979, 0.8220, 0.1780, 0.1199, 287.21
176, 0.2956, 0.8231, 0.1769, 0.1187, 287.20
177, 0.2960, 0.8228, 0.1772, 0.1187, 286.02
178, 0.2944, 0.8235, 0.1765, 0.1179, 286.06
179, 0.2954, 0.8232, 0.1768, 0.1186, 285.69
180, 0.2941, 0.8237, 0.1763, 0.1178, 287.78
181, 0.2938, 0.8239, 0.1761, 0.1177, 286.03
182, 0.2930, 0.8240, 0.1760, 0.1170, 287.31
183, 0.2933, 0.8243, 0.1757, 0.1176, 285.57
184, 0.2925, 0.8246, 0.1754, 0.1171, 287.20
185, 0.2917, 0.8247, 0.1753, 0.1164, 285.46
186, 0.2923, 0.8245, 0.1755, 0.1169, 287.84
187, 0.2919, 0.8248, 0.1752, 0.1167, 287.24
188, 0.2922, 0.8248, 0.1752, 0.1170, 284.97
189, 0.2900, 0.8257, 0.1743, 0.1157, 286.97
190, 0.2926, 0.8250, 0.1750, 0.1177, 287.07
191, 0.2907, 0.8256, 0.1744, 0.1163, 286.65
192, 0.2897, 0.8259, 0.1741, 0.1156, 286.44
193, 0.2891, 0.8261, 0.1739, 0.1152, 287.14
194, 0.2905, 0.8262, 0.1738, 0.1167, 286.50
195, 0.2885, 0.8265, 0.1735, 0.1149, 286.17
196, 0.2880, 0.8269, 0.1731, 0.1149, 286.19
197, 0.2878, 0.8271, 0.1729, 0.1149, 287.16
198, 0.2885, 0.8267, 0.1733, 0.1153, 287.17
199, 0.2894, 0.8262, 0.1738, 0.1156, 286.23
200, 0.2882, 0.8272, 0.1728, 0.1154, 287.12
201, 0.2866, 0.8277, 0.1723, 0.1143, 286.95
202, 0.2862, 0.8278, 0.1722, 0.1140, 287.40
203, 0.2872, 0.8275, 0.1725, 0.1147, 286.34
204, 0.2874, 0.8276, 0.1724, 0.1150, 286.44
205, 0.2855, 0.8282, 0.1718, 0.1137, 287.21
206, 0.2847, 0.8284, 0.1716, 0.1131, 286.40
207, 0.2846, 0.8289, 0.1711, 0.1136, 286.64
208, 0.2860, 0.8279, 0.1721, 0.1138, 287.24
209, 0.2852, 0.8288, 0.1712, 0.1140, 286.17
210, 0.2851, 0.8286, 0.1714, 0.1137, 286.47
211, 0.2864, 0.8279, 0.1721, 0.1144, 286.84
212, 0.2830, 0.8297, 0.1703, 0.1127, 286.42
213, 0.2826, 0.8298, 0.1702, 0.1124, 286.80
214, 0.2834, 0.8295, 0.1705, 0.1128, 286.16
215, 0.2826, 0.8297, 0.1703, 0.1123, 286.31
216, 0.2815, 0.8302, 0.1698, 0.1117, 285.79
217, 0.2807, 0.8306, 0.1694, 0.1113, 286.03
218, 0.2832, 0.8300, 0.1700, 0.1132, 286.47
219, 0.2803, 0.8309, 0.1691, 0.1111, 287.32
220, 0.2805, 0.8309, 0.1691, 0.1114, 285.93
221, 0.2815, 0.8307, 0.1693, 0.1121, 287.35
222, 0.2797, 0.8311, 0.1689, 0.1107, 285.72
223, 0.2796, 0.8312, 0.1688, 0.1107, 285.89
224, 0.2806, 0.8308, 0.1692, 0.1114, 287.01
225, 0.2788, 0.8316, 0.1684, 0.1104, 286.97
226, 0.2796, 0.8312, 0.1688, 0.1108, 286.33
227, 0.2801, 0.8310, 0.1690, 0.1112, 286.78
228, 0.2801, 0.8310, 0.1690, 0.1112, 287.03
229, 0.2798, 0.8312, 0.1688, 0.1110, 286.70
230, 0.2784, 0.8321, 0.1679, 0.1105, 286.71
231, 0.2782, 0.8320, 0.1680, 0.1102, 286.68
232, 0.2797, 0.8320, 0.1680, 0.1118, 286.61
233, 0.2781, 0.8320, 0.1680, 0.1102, 286.83
234, 0.2768, 0.8327, 0.1673, 0.1095, 286.34
235, 0.2755, 0.8332, 0.1668, 0.1088, 286.46
236, 0.2769, 0.8325, 0.1675, 0.1094, 286.30
237, 0.2769, 0.8328, 0.1672, 0.1097, 287.83
238, 0.2759, 0.8332, 0.1668, 0.1091, 287.40
239, 0.2766, 0.8330, 0.1670, 0.1096, 286.90
240, 0.2766, 0.8329, 0.1671, 0.1095, 286.84
241, 0.2752, 0.8336, 0.1664, 0.1088, 286.16
242, 0.2751, 0.8338, 0.1662, 0.1089, 285.95
243, 0.2724, 0.8347, 0.1653, 0.1071, 287.01
244, 0.2740, 0.8342, 0.1658, 0.1082, 286.94
245, 0.2745, 0.8339, 0.1661, 0.1084, 286.40
246, 0.2753, 0.8337, 0.1663, 0.1090, 287.08
247, 0.2739, 0.8344, 0.1656, 0.1083, 286.62
248, 0.2749, 0.8341, 0.1659, 0.1090, 286.52
249, 0.2738, 0.8344, 0.1656, 0.1082, 285.89
250, 0.2719, 0.8352, 0.1648, 0.1071, 286.52
251, 0.2718, 0.8354, 0.1646, 0.1071, 286.78
252, 0.2720, 0.8350, 0.1650, 0.1071, 286.34
253, 0.2729, 0.8347, 0.1653, 0.1076, 287.18
254, 0.2734, 0.8347, 0.1653, 0.1081, 285.72
255, 0.2727, 0.8349, 0.1651, 0.1076, 286.20
256, 0.2709, 0.8358, 0.1642, 0.1067, 285.99
257, 0.2724, 0.8355, 0.1645, 0.1079, 286.54
258, 0.2719, 0.8353, 0.1647, 0.1071, 287.19
259, 0.2718, 0.8355, 0.1645, 0.1073, 287.06
260, 0.2696, 0.8364, 0.1636, 0.1060, 286.06
261, 0.2705, 0.8358, 0.1642, 0.1063, 286.74
262, 0.2699, 0.8363, 0.1637, 0.1062, 286.08
263, 0.2702, 0.8363, 0.1637, 0.1065, 285.76
264, 0.2697, 0.8364, 0.1636, 0.1061, 286.27
265, 0.2708, 0.8360, 0.1640, 0.1068, 287.75
266, 0.2689, 0.8366, 0.1634, 0.1056, 286.18
267, 0.2697, 0.8367, 0.1633, 0.1064, 286.75
268, 0.2690, 0.8367, 0.1633, 0.1057, 286.65
269, 0.2680, 0.8374, 0.1626, 0.1054, 286.11
270, 0.2687, 0.8369, 0.1631, 0.1056, 286.59
271, 0.2677, 0.8375, 0.1625, 0.1052, 285.94
272, 0.2690, 0.8369, 0.1631, 0.1059, 286.27
273, 0.2700, 0.8367, 0.1633, 0.1067, 286.31
274, 0.2684, 0.8371, 0.1629, 0.1055, 286.99
275, 0.2672, 0.8377, 0.1623, 0.1049, 287.12
276, 0.2676, 0.8376, 0.1624, 0.1052, 287.03
277, 0.2657, 0.8384, 0.1616, 0.1040, 287.68
278, 0.2656, 0.8384, 0.1616, 0.1040, 286.36
279, 0.2665, 0.8381, 0.1619, 0.1046, 286.43
280, 0.2664, 0.8381, 0.1619, 0.1045, 288.38
