Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
1, 0.9459, 0.3850, 0.6150, 0.7880, -0.4571, 521.07
2, 0.3186, 0.5396, 0.4604, 0.4467, -0.5885, 519.67
3, 0.1377, 0.6032, 0.3968, 0.3791, -0.6382, 516.77
4, 0.0439, 0.6384, 0.3616, 0.3464, -0.6640, 520.40
5, -0.0093, 0.6586, 0.3414, 0.3268, -0.6775, 519.41
6, -0.0471, 0.6726, 0.3274, 0.3130, -0.6874, 517.22
7, -0.0744, 0.6829, 0.3171, 0.3027, -0.6942, 517.36
8, -0.0972, 0.6908, 0.3092, 0.2933, -0.6997, 518.63
9, -0.1136, 0.6969, 0.3031, 0.2871, -0.7038, 517.70
10, -0.1322, 0.7032, 0.2968, 0.2797, -0.7087, 517.39
11, -0.1438, 0.7073, 0.2927, 0.2752, -0.7117, 518.46
12, -0.1570, 0.7110, 0.2890, 0.2694, -0.7154, 518.37
13, -0.1687, 0.7150, 0.2850, 0.2643, -0.7180, 517.47
14, -0.1810, 0.7189, 0.2811, 0.2594, -0.7215, 517.77
15, -0.1870, 0.7212, 0.2788, 0.2574, -0.7232, 516.93
16, -0.1951, 0.7238, 0.2762, 0.2537, -0.7249, 517.59
17, -0.2053, 0.7271, 0.2729, 0.2497, -0.7279, 519.06
18, -0.2130, 0.7296, 0.2704, 0.2458, -0.7292, 517.87
19, -0.2213, 0.7318, 0.2682, 0.2419, -0.7314, 516.39
20, -0.2287, 0.7344, 0.2656, 0.2391, -0.7333, 517.83
21, -0.2355, 0.7365, 0.2635, 0.2364, -0.7354, 517.74
22, -0.2437, 0.7387, 0.2613, 0.2321, -0.7372, 518.20
23, -0.2479, 0.7406, 0.2594, 0.2310, -0.7383, 517.38
24, -0.2551, 0.7427, 0.2573, 0.2277, -0.7401, 518.11
25, -0.2583, 0.7440, 0.2560, 0.2268, -0.7412, 518.36
26, -0.2603, 0.7447, 0.2553, 0.2264, -0.7419, 517.60
27, -0.2727, 0.7483, 0.2517, 0.2203, -0.7448, 518.80
28, -0.2748, 0.7490, 0.2510, 0.2197, -0.7455, 518.73
29, -0.2802, 0.7505, 0.2495, 0.2173, -0.7470, 518.31
30, -0.2862, 0.7524, 0.2476, 0.2145, -0.7483, 519.44
31, -0.2875, 0.7532, 0.2468, 0.2149, -0.7492, 518.46
32, -0.2935, 0.7547, 0.2453, 0.2117, -0.7504, 518.05
33, -0.2955, 0.7562, 0.2438, 0.2124, -0.7517, 517.71
34, -0.3005, 0.7571, 0.2429, 0.2091, -0.7525, 564.10
35, -0.3037, 0.7583, 0.2417, 0.2079, -0.7533, 573.06
36, -0.3079, 0.7596, 0.2404, 0.2062, -0.7545, 574.75
37, -0.3145, 0.7613, 0.2387, 0.2025, -0.7557, 572.39
38, -0.3164, 0.7622, 0.2378, 0.2021, -0.7563, 574.91
39, -0.3176, 0.7628, 0.2372, 0.2022, -0.7570, 573.08
40, -0.3222, 0.7639, 0.2361, 0.2002, -0.7584, 571.11
41, -0.3258, 0.7650, 0.2350, 0.1981, -0.7590, 573.21
42, -0.3282, 0.7661, 0.2339, 0.1977, -0.7598, 578.83
43, -0.3306, 0.7669, 0.2331, 0.1968, -0.7605, 578.48
44, -0.3331, 0.7677, 0.2323, 0.1958, -0.7613, 577.86
45, -0.3373, 0.7692, 0.2308, 0.1946, -0.7626, 578.30
46, -0.3410, 0.7700, 0.2300, 0.1923, -0.7633, 580.34
47, -0.3427, 0.7710, 0.2290, 0.1923, -0.7640, 577.87
48, -0.3476, 0.7722, 0.2278, 0.1896, -0.7650, 579.02
49, -0.3496, 0.7730, 0.2270, 0.1892, -0.7658, 578.79
50, -0.3514, 0.7737, 0.2263, 0.1885, -0.7662, 582.43
51, -0.3558, 0.7747, 0.2253, 0.1856, -0.7666, 579.66
52, -0.3566, 0.7753, 0.2247, 0.1865, -0.7678, 581.50
53, -0.3589, 0.7757, 0.2243, 0.1849, -0.7681, 580.89
54, -0.3635, 0.7778, 0.2222, 0.1833, -0.7690, 582.00
55, -0.3624, 0.7775, 0.2225, 0.1847, -0.7696, 578.73
56, -0.3655, 0.7786, 0.2214, 0.1832, -0.7701, 575.74
57, -0.3700, 0.7796, 0.2204, 0.1807, -0.7711, 572.60
58, -0.3677, 0.7793, 0.2207, 0.1823, -0.7707, 581.26
59, -0.3733, 0.7809, 0.2191, 0.1796, -0.7720, 578.86
60, -0.3746, 0.7812, 0.2188, 0.1792, -0.7726, 581.68
61, -0.3774, 0.7823, 0.2177, 0.1780, -0.7731, 578.17
62, -0.3777, 0.7822, 0.2178, 0.1777, -0.7732, 580.64
63, -0.3801, 0.7832, 0.2168, 0.1773, -0.7742, 577.61
64, -0.3842, 0.7843, 0.2157, 0.1752, -0.7751, 578.97
65, -0.3868, 0.7851, 0.2149, 0.1739, -0.7756, 578.78
66, -0.3860, 0.7851, 0.2149, 0.1746, -0.7755, 579.13
67, -0.3865, 0.7854, 0.2146, 0.1746, -0.7757, 576.38
68, -0.3908, 0.7864, 0.2136, 0.1721, -0.7765, 575.18
69, -0.3912, 0.7867, 0.2133, 0.1723, -0.7769, 572.60
70, -0.3938, 0.7875, 0.2125, 0.1710, -0.7773, 579.71
71, -0.3940, 0.7877, 0.2123, 0.1717, -0.7780, 577.19
72, -0.3980, 0.7890, 0.2110, 0.1694, -0.7783, 572.93
73, -0.3988, 0.7891, 0.2109, 0.1693, -0.7790, 574.84
74, -0.4007, 0.7899, 0.2101, 0.1689, -0.7797, 580.29
75, -0.4007, 0.7900, 0.2100, 0.1691, -0.7798, 579.65
76, -0.4050, 0.7913, 0.2087, 0.1672, -0.7808, 579.46
77, -0.4049, 0.7912, 0.2088, 0.1670, -0.7806, 583.23
78, -0.4053, 0.7912, 0.2088, 0.1670, -0.7811, 582.75
