Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8114, 0.3810, 0.6190, 0.7788, 0.4136, 249.95
2, 1.1327, 0.5285, 0.4715, 0.4452, 0.2160, 261.10
3, 0.9546, 0.5891, 0.4109, 0.3752, 0.1685, 261.21
4, 0.8599, 0.6272, 0.3728, 0.3403, 0.1468, 261.13
5, 0.8034, 0.6502, 0.3498, 0.3191, 0.1345, 261.26
6, 0.7637, 0.6661, 0.3339, 0.3041, 0.1257, 261.23
7, 0.7349, 0.6781, 0.3219, 0.2932, 0.1199, 261.51
8, 0.7119, 0.6862, 0.3138, 0.2827, 0.1154, 261.60
9, 0.6953, 0.6926, 0.3074, 0.2757, 0.1122, 261.31
10, 0.6820, 0.6982, 0.3018, 0.2709, 0.1093, 261.07
11, 0.6670, 0.7036, 0.2964, 0.2641, 0.1065, 261.34
12, 0.6546, 0.7074, 0.2926, 0.2579, 0.1042, 261.34
13, 0.6479, 0.7106, 0.2894, 0.2557, 0.1028, 261.02
14, 0.6356, 0.7144, 0.2856, 0.2498, 0.1002, 261.31
15, 0.6288, 0.7170, 0.2830, 0.2466, 0.0992, 261.50
16, 0.6178, 0.7205, 0.2795, 0.2414, 0.0969, 261.27
17, 0.6120, 0.7228, 0.2772, 0.2389, 0.0959, 261.32
18, 0.6024, 0.7254, 0.2746, 0.2340, 0.0939, 261.40
19, 0.5963, 0.7279, 0.2721, 0.2316, 0.0926, 261.37
20, 0.5909, 0.7299, 0.2701, 0.2289, 0.0920, 261.22
21, 0.5837, 0.7322, 0.2678, 0.2253, 0.0906, 261.37
22, 0.5776, 0.7341, 0.2659, 0.2223, 0.0894, 261.29
23, 0.5717, 0.7366, 0.2634, 0.2199, 0.0884, 261.22
24, 0.5676, 0.7378, 0.2622, 0.2178, 0.0875, 261.50
25, 0.5601, 0.7402, 0.2598, 0.2142, 0.0861, 261.42
26, 0.5568, 0.7416, 0.2584, 0.2130, 0.0854, 261.20
27, 0.5547, 0.7426, 0.2574, 0.2123, 0.0851, 261.28
28, 0.5509, 0.7439, 0.2561, 0.2102, 0.0845, 261.25
29, 0.5475, 0.7452, 0.2548, 0.2088, 0.0839, 261.33
30, 0.5405, 0.7473, 0.2527, 0.2052, 0.0826, 261.31
31, 0.5384, 0.7486, 0.2514, 0.2047, 0.0823, 261.26
32, 0.5327, 0.7506, 0.2494, 0.2022, 0.0811, 261.13
33, 0.5317, 0.7508, 0.2492, 0.2014, 0.0811, 261.21
34, 0.5236, 0.7533, 0.2467, 0.1974, 0.0795, 261.33
35, 0.5230, 0.7541, 0.2459, 0.1977, 0.0794, 261.24
36, 0.5196, 0.7550, 0.2450, 0.1957, 0.0789, 261.07
37, 0.5137, 0.7570, 0.2430, 0.1930, 0.0776, 260.92
38, 0.5125, 0.7579, 0.2421, 0.1927, 0.0776, 261.06
39, 0.5099, 0.7590, 0.2410, 0.1915, 0.0773, 261.35
40, 0.5042, 0.7605, 0.2395, 0.1886, 0.0762, 261.02
41, 0.5028, 0.7609, 0.2391, 0.1878, 0.0759, 260.99
42, 0.5011, 0.7620, 0.2380, 0.1876, 0.0755, 261.03
43, 0.4949, 0.7640, 0.2360, 0.1844, 0.0745, 260.93
44, 0.4932, 0.7645, 0.2355, 0.1836, 0.0742, 261.38
45, 0.4919, 0.7654, 0.2346, 0.1833, 0.0739, 261.17
46, 0.4883, 0.7666, 0.2334, 0.1814, 0.0734, 261.14
47, 0.4872, 0.7672, 0.2328, 0.1811, 0.0732, 261.27
48, 0.4865, 0.7678, 0.2322, 0.1813, 0.0730, 261.35
49, 0.4813, 0.7692, 0.2308, 0.1784, 0.0722, 261.42
50, 0.4807, 0.7697, 0.2303, 0.1782, 0.0721, 261.45
51, 0.4773, 0.7709, 0.2291, 0.1767, 0.0714, 261.25
52, 0.4752, 0.7714, 0.2286, 0.1754, 0.0712, 261.43
53, 0.4734, 0.7723, 0.2277, 0.1749, 0.0707, 261.15
54, 0.4703, 0.7735, 0.2265, 0.1735, 0.0703, 260.83
55, 0.4675, 0.7745, 0.2255, 0.1722, 0.0697, 261.28
56, 0.4675, 0.7749, 0.2251, 0.1726, 0.0698, 261.47
57, 0.4643, 0.7761, 0.2239, 0.1712, 0.0692, 261.09
58, 0.4632, 0.7762, 0.2238, 0.1704, 0.0690, 261.19
59, 0.4599, 0.7779, 0.2221, 0.1694, 0.0684, 261.06
60, 0.4594, 0.7780, 0.2220, 0.1690, 0.0684, 261.08
61, 0.4562, 0.7789, 0.2211, 0.1672, 0.0679, 261.17
62, 0.4539, 0.7799, 0.2201, 0.1663, 0.0674, 260.98
63, 0.4509, 0.7808, 0.2192, 0.1648, 0.0669, 261.17
64, 0.4498, 0.7817, 0.2183, 0.1647, 0.0668, 261.35
65, 0.4515, 0.7813, 0.2187, 0.1657, 0.0671, 261.26
66, 0.4486, 0.7822, 0.2178, 0.1642, 0.0666, 261.34
67, 0.4439, 0.7838, 0.2162, 0.1619, 0.0658, 261.22
68, 0.4432, 0.7841, 0.2159, 0.1616, 0.0656, 261.39
69, 0.4433, 0.7840, 0.2160, 0.1616, 0.0657, 261.39
70, 0.4430, 0.7847, 0.2153, 0.1620, 0.0657, 261.21
71, 0.4372, 0.7860, 0.2140, 0.1587, 0.0646, 261.46
72, 0.4400, 0.7858, 0.2142, 0.1606, 0.0652, 261.23
73, 0.4348, 0.7874, 0.2126, 0.1581, 0.0642, 261.16
74, 0.4367, 0.7870, 0.2130, 0.1590, 0.0646, 261.23
75, 0.4330, 0.7882, 0.2118, 0.1572, 0.0640, 261.17
76, 0.4314, 0.7889, 0.2111, 0.1566, 0.0636, 261.37
77, 0.4303, 0.7893, 0.2107, 0.1561, 0.0635, 261.39
78, 0.4286, 0.7899, 0.2101, 0.1553, 0.0632, 261.15
79, 0.4301, 0.7898, 0.2102, 0.1565, 0.0634, 261.25
80, 0.4252, 0.7910, 0.2090, 0.1536, 0.0626, 261.41
81, 0.4248, 0.7914, 0.2086, 0.1537, 0.0625, 261.29
82, 0.4223, 0.7926, 0.2074, 0.1527, 0.0622, 261.18
83, 0.4232, 0.7924, 0.2076, 0.1532, 0.0624, 261.44
84, 0.4210, 0.7929, 0.2071, 0.1519, 0.0619, 261.17
85, 0.4209, 0.7932, 0.2068, 0.1521, 0.0620, 260.91
86, 0.4193, 0.7937, 0.2063, 0.1514, 0.0616, 261.20
87, 0.4190, 0.7941, 0.2059, 0.1515, 0.0616, 261.30
88, 0.4172, 0.7949, 0.2051, 0.1507, 0.0614, 261.40
89, 0.4176, 0.7948, 0.2052, 0.1508, 0.0615, 261.49
90, 0.4146, 0.7959, 0.2041, 0.1495, 0.0610, 261.40
91, 0.4144, 0.7960, 0.2040, 0.1495, 0.0609, 261.23
92, 0.4142, 0.7960, 0.2040, 0.1493, 0.0609, 261.51
93, 0.4120, 0.7969, 0.2031, 0.1484, 0.0605, 261.21
94, 0.4115, 0.7970, 0.2030, 0.1480, 0.0604, 261.20
95, 0.4094, 0.7977, 0.2023, 0.1472, 0.0600, 261.25
96, 0.4082, 0.7983, 0.2017, 0.1467, 0.0598, 261.45
97, 0.4063, 0.7989, 0.2011, 0.1458, 0.0594, 261.42
98, 0.4065, 0.7990, 0.2010, 0.1459, 0.0596, 261.40
99, 0.4027, 0.8005, 0.1995, 0.1444, 0.0589, 261.27
100, 0.4035, 0.8006, 0.1994, 0.1450, 0.0591, 261.49
101, 0.4009, 0.8009, 0.1991, 0.1432, 0.0586, 260.91
102, 0.3995, 0.8017, 0.1983, 0.1429, 0.0583, 261.46
103, 0.3994, 0.8018, 0.1982, 0.1429, 0.0583, 261.37
104, 0.3990, 0.8022, 0.1978, 0.1428, 0.0583, 261.46
105, 0.3990, 0.8025, 0.1975, 0.1432, 0.0583, 261.20
106, 0.3969, 0.8029, 0.1971, 0.1419, 0.0580, 261.27
107, 0.3967, 0.8033, 0.1967, 0.1420, 0.0579, 261.12
108, 0.3959, 0.8038, 0.1962, 0.1418, 0.0579, 261.28
109, 0.3950, 0.8039, 0.1961, 0.1413, 0.0577, 260.99
110, 0.3935, 0.8046, 0.1954, 0.1406, 0.0574, 261.09
111, 0.3956, 0.8046, 0.1954, 0.1422, 0.0579, 261.27
112, 0.3917, 0.8055, 0.1945, 0.1400, 0.0572, 261.51
113, 0.3944, 0.8047, 0.1953, 0.1414, 0.0577, 261.55
114, 0.3878, 0.8068, 0.1932, 0.1382, 0.0565, 261.21
115, 0.3902, 0.8058, 0.1942, 0.1391, 0.0569, 261.56
116, 0.3891, 0.8062, 0.1938, 0.1387, 0.0567, 261.41
117, 0.3897, 0.8069, 0.1931, 0.1398, 0.0569, 261.41
118, 0.3870, 0.8073, 0.1927, 0.1379, 0.0563, 261.31
119, 0.3851, 0.8080, 0.1920, 0.1370, 0.0561, 261.38
120, 0.3866, 0.8075, 0.1925, 0.1378, 0.0563, 261.44
121, 0.3859, 0.8080, 0.1920, 0.1376, 0.0563, 261.33
122, 0.3834, 0.8087, 0.1913, 0.1364, 0.0557, 261.34
123, 0.3857, 0.8079, 0.1921, 0.1373, 0.0562, 261.24
124, 0.3819, 0.8093, 0.1907, 0.1356, 0.0556, 261.42
125, 0.3813, 0.8095, 0.1905, 0.1354, 0.0554, 261.49
126, 0.3799, 0.8102, 0.1898, 0.1349, 0.0552, 261.15
127, 0.3809, 0.8099, 0.1901, 0.1354, 0.0554, 261.33
128, 0.3799, 0.8106, 0.1894, 0.1352, 0.0553, 260.84
129, 0.3798, 0.8105, 0.1895, 0.1350, 0.0553, 261.36
130, 0.3760, 0.8115, 0.1885, 0.1331, 0.0545, 261.19
131, 0.3770, 0.8112, 0.1888, 0.1335, 0.0547, 261.10
132, 0.3760, 0.8116, 0.1884, 0.1331, 0.0545, 261.23
133, 0.3771, 0.8115, 0.1885, 0.1338, 0.0548, 261.35
134, 0.3770, 0.8116, 0.1884, 0.1338, 0.0548, 261.16
135, 0.3750, 0.8125, 0.1875, 0.1330, 0.0545, 261.59
136, 0.3750, 0.8126, 0.1874, 0.1331, 0.0545, 261.22
137, 0.3751, 0.8128, 0.1872, 0.1334, 0.0545, 261.34
138, 0.3717, 0.8135, 0.1865, 0.1314, 0.0539, 261.46
139, 0.3710, 0.8138, 0.1862, 0.1311, 0.0538, 261.10
140, 0.3710, 0.8138, 0.1862, 0.1311, 0.0537, 261.26
141, 0.3703, 0.8144, 0.1856, 0.1311, 0.0536, 261.41
142, 0.3684, 0.8150, 0.1850, 0.1300, 0.0534, 261.26
143, 0.3676, 0.8155, 0.1845, 0.1299, 0.0532, 261.45
144, 0.3690, 0.8149, 0.1851, 0.1305, 0.0535, 261.39
145, 0.3685, 0.8153, 0.1847, 0.1303, 0.0534, 261.32
146, 0.3669, 0.8158, 0.1842, 0.1296, 0.0532, 261.08
147, 0.3654, 0.8160, 0.1840, 0.1285, 0.0529, 261.33
148, 0.3680, 0.8157, 0.1843, 0.1303, 0.0534, 261.44
149, 0.3643, 0.8169, 0.1831, 0.1285, 0.0527, 261.31
150, 0.3633, 0.8173, 0.1827, 0.1281, 0.0525, 261.03
151, 0.3635, 0.8169, 0.1831, 0.1280, 0.0525, 261.28
152, 0.3623, 0.8172, 0.1828, 0.1272, 0.0523, 261.08
153, 0.3606, 0.8182, 0.1818, 0.1268, 0.0521, 261.14
154, 0.3647, 0.8169, 0.1831, 0.1289, 0.0528, 261.20
155, 0.3629, 0.8177, 0.1823, 0.1281, 0.0525, 261.00
156, 0.3641, 0.8176, 0.1824, 0.1289, 0.0528, 261.31
157, 0.3610, 0.8180, 0.1820, 0.1269, 0.0521, 261.24
158, 0.3608, 0.8187, 0.1813, 0.1274, 0.0521, 261.02
159, 0.3596, 0.8188, 0.1812, 0.1265, 0.0519, 261.26
160, 0.3610, 0.8189, 0.1811, 0.1276, 0.0522, 261.29
161, 0.3584, 0.8194, 0.1806, 0.1260, 0.0518, 261.10
162, 0.3578, 0.8198, 0.1802, 0.1259, 0.0517, 261.30
163, 0.3573, 0.8202, 0.1798, 0.1258, 0.0516, 261.22
164, 0.3553, 0.8206, 0.1794, 0.1247, 0.0512, 261.48
165, 0.3561, 0.8206, 0.1794, 0.1254, 0.0513, 261.39
166, 0.3548, 0.8209, 0.1791, 0.1245, 0.0512, 261.37
167, 0.3544, 0.8209, 0.1791, 0.1242, 0.0511, 261.33
168, 0.3544, 0.8212, 0.1788, 0.1245, 0.0511, 261.50
169, 0.3537, 0.8213, 0.1787, 0.1240, 0.0510, 261.29
170, 0.3552, 0.8209, 0.1791, 0.1249, 0.0512, 261.23
171, 0.3505, 0.8226, 0.1774, 0.1227, 0.0504, 261.13
172, 0.3513, 0.8227, 0.1773, 0.1233, 0.0507, 261.29
173, 0.3520, 0.8223, 0.1777, 0.1236, 0.0508, 261.27
174, 0.3511, 0.8227, 0.1773, 0.1232, 0.0506, 261.32
175, 0.3520, 0.8223, 0.1777, 0.1236, 0.0508, 261.45
176, 0.3509, 0.8232, 0.1768, 0.1234, 0.0507, 261.47
177, 0.3497, 0.8230, 0.1770, 0.1224, 0.0503, 261.31
178, 0.3484, 0.8236, 0.1764, 0.1220, 0.0501, 261.42
179, 0.3494, 0.8234, 0.1766, 0.1224, 0.0504, 261.40
180, 0.3480, 0.8238, 0.1762, 0.1218, 0.0501, 261.45
181, 0.3474, 0.8240, 0.1760, 0.1215, 0.0499, 261.30
182, 0.3468, 0.8242, 0.1758, 0.1211, 0.0499, 261.10
