Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8822, 0.3559, 0.6441, 0.8124, 0.4256, 250.88
2, 1.2052, 0.4935, 0.5065, 0.4645, 0.2342, 312.62
3, 1.0291, 0.5521, 0.4479, 0.3801, 0.2011, 313.58
4, 0.9344, 0.5885, 0.4115, 0.3381, 0.1848, 313.70
5, 0.8738, 0.6131, 0.3869, 0.3125, 0.1743, 313.40
6, 0.8307, 0.6300, 0.3700, 0.2945, 0.1662, 313.61
7, 0.7983, 0.6430, 0.3570, 0.2815, 0.1597, 313.25
8, 0.7744, 0.6522, 0.3478, 0.2719, 0.1547, 313.24
9, 0.7516, 0.6608, 0.3392, 0.2626, 0.1497, 313.20
10, 0.7349, 0.6674, 0.3326, 0.2559, 0.1465, 313.53
11, 0.7206, 0.6729, 0.3271, 0.2498, 0.1436, 324.02
12, 0.7075, 0.6773, 0.3227, 0.2442, 0.1405, 321.42
13, 0.6943, 0.6821, 0.3179, 0.2388, 0.1377, 322.76
14, 0.6809, 0.6866, 0.3134, 0.2330, 0.1345, 325.24
15, 0.6721, 0.6894, 0.3106, 0.2293, 0.1322, 321.77
16, 0.6603, 0.6936, 0.3064, 0.2246, 0.1294, 322.60
17, 0.6534, 0.6963, 0.3037, 0.2218, 0.1279, 324.94
18, 0.6415, 0.7001, 0.2999, 0.2167, 0.1248, 320.62
19, 0.6364, 0.7022, 0.2978, 0.2147, 0.1240, 320.94
20, 0.6269, 0.7053, 0.2947, 0.2105, 0.1216, 325.34
21, 0.6228, 0.7069, 0.2931, 0.2091, 0.1206, 322.71
22, 0.6161, 0.7094, 0.2906, 0.2061, 0.1194, 320.15
23, 0.6099, 0.7115, 0.2885, 0.2037, 0.1177, 323.72
24, 0.6043, 0.7138, 0.2862, 0.2014, 0.1166, 323.19
25, 0.5966, 0.7162, 0.2838, 0.1982, 0.1146, 321.36
26, 0.5929, 0.7178, 0.2822, 0.1967, 0.1139, 323.14
27, 0.5863, 0.7198, 0.2802, 0.1940, 0.1122, 323.37
28, 0.5841, 0.7210, 0.2790, 0.1932, 0.1119, 319.69
29, 0.5799, 0.7228, 0.2772, 0.1920, 0.1108, 322.46
30, 0.5736, 0.7245, 0.2755, 0.1890, 0.1092, 325.59
31, 0.5724, 0.7259, 0.2741, 0.1890, 0.1092, 321.34
32, 0.5649, 0.7277, 0.2723, 0.1855, 0.1071, 319.77
33, 0.5594, 0.7293, 0.2707, 0.1832, 0.1055, 325.44
34, 0.5603, 0.7301, 0.2699, 0.1840, 0.1064, 323.81
35, 0.5479, 0.7334, 0.2666, 0.1784, 0.1029, 318.07
36, 0.5515, 0.7330, 0.2670, 0.1805, 0.1041, 323.89
37, 0.5459, 0.7351, 0.2649, 0.1780, 0.1030, 323.55
38, 0.5417, 0.7364, 0.2636, 0.1763, 0.1018, 321.11
39, 0.5366, 0.7379, 0.2621, 0.1742, 0.1004, 323.65
40, 0.5378, 0.7384, 0.2616, 0.1750, 0.1011, 323.57
41, 0.5322, 0.7396, 0.2604, 0.1725, 0.0993, 320.89
42, 0.5301, 0.7410, 0.2590, 0.1718, 0.0993, 320.80
43, 0.5255, 0.7423, 0.2577, 0.1700, 0.0978, 323.73
44, 0.5235, 0.7431, 0.2569, 0.1693, 0.0973, 322.85
45, 0.5206, 0.7446, 0.2554, 0.1682, 0.0971, 318.14
46, 0.5180, 0.7455, 0.2545, 0.1672, 0.0963, 323.26
47, 0.5121, 0.7471, 0.2529, 0.1646, 0.0946, 320.05
48, 0.5114, 0.7483, 0.2517, 0.1646, 0.0950, 321.21
49, 0.5062, 0.7495, 0.2505, 0.1624, 0.0933, 325.78
50, 0.5056, 0.7500, 0.2500, 0.1623, 0.0933, 321.92
51, 0.5031, 0.7509, 0.2491, 0.1613, 0.0928, 320.90
52, 0.5003, 0.7520, 0.2480, 0.1602, 0.0921, 325.27
53, 0.4994, 0.7524, 0.2476, 0.1599, 0.0919, 322.26
54, 0.4950, 0.7543, 0.2457, 0.1583, 0.0910, 320.95
55, 0.4948, 0.7550, 0.2450, 0.1585, 0.0914, 324.48
56, 0.4904, 0.7559, 0.2441, 0.1565, 0.0897, 323.65
57, 0.4871, 0.7573, 0.2427, 0.1552, 0.0892, 320.91
58, 0.4876, 0.7571, 0.2429, 0.1554, 0.0893, 322.97
59, 0.4823, 0.7591, 0.2409, 0.1534, 0.0881, 322.33
60, 0.4863, 0.7586, 0.2414, 0.1554, 0.0895, 320.62
61, 0.4818, 0.7595, 0.2405, 0.1534, 0.0879, 318.44
62, 0.4768, 0.7613, 0.2387, 0.1514, 0.0867, 324.91
63, 0.4762, 0.7617, 0.2383, 0.1511, 0.0867, 321.15
64, 0.4745, 0.7623, 0.2377, 0.1505, 0.0863, 320.89
65, 0.4750, 0.7629, 0.2371, 0.1512, 0.0867, 325.04
66, 0.4697, 0.7641, 0.2359, 0.1487, 0.0851, 320.86
67, 0.4687, 0.7645, 0.2355, 0.1483, 0.0848, 320.53
68, 0.4682, 0.7649, 0.2351, 0.1481, 0.0850, 325.28
69, 0.4656, 0.7660, 0.2340, 0.1473, 0.0842, 321.82
70, 0.4655, 0.7662, 0.2338, 0.1473, 0.0844, 320.74
71, 0.4641, 0.7670, 0.2330, 0.1469, 0.0842, 324.36
72, 0.4626, 0.7676, 0.2324, 0.1464, 0.0838, 322.26
73, 0.4573, 0.7689, 0.2311, 0.1440, 0.0822, 320.10
74, 0.4569, 0.7695, 0.2305, 0.1441, 0.0824, 323.67
75, 0.4548, 0.7707, 0.2293, 0.1435, 0.0821, 323.47
76, 0.4546, 0.7705, 0.2295, 0.1433, 0.0819, 320.58
77, 0.4559, 0.7704, 0.2296, 0.1440, 0.0824, 318.97
78, 0.4519, 0.7718, 0.2282, 0.1424, 0.0813, 323.94
79, 0.4495, 0.7725, 0.2275, 0.1413, 0.0807, 320.27
80, 0.4488, 0.7730, 0.2270, 0.1411, 0.0807, 322.00
81, 0.4454, 0.7740, 0.2260, 0.1397, 0.0797, 324.49
82, 0.4453, 0.7744, 0.2256, 0.1399, 0.0798, 321.32
83, 0.4431, 0.7751, 0.2249, 0.1390, 0.0793, 322.01
84, 0.4429, 0.7755, 0.2245, 0.1390, 0.0793, 316.09
85, 0.4395, 0.7767, 0.2233, 0.1376, 0.0785, 312.95
86, 0.4421, 0.7761, 0.2239, 0.1389, 0.0792, 312.65
87, 0.4377, 0.7777, 0.2223, 0.1371, 0.0782, 312.68
88, 0.4406, 0.7772, 0.2228, 0.1385, 0.0793, 312.98
89, 0.4377, 0.7778, 0.2222, 0.1373, 0.0782, 312.64
90, 0.4326, 0.7794, 0.2206, 0.1351, 0.0769, 313.03
91, 0.4349, 0.7789, 0.2211, 0.1361, 0.0777, 313.03
92, 0.4340, 0.7793, 0.2207, 0.1358, 0.0775, 312.05
93, 0.4301, 0.7807, 0.2193, 0.1344, 0.0764, 311.08
94, 0.4303, 0.7806, 0.2194, 0.1344, 0.0764, 312.45
95, 0.4298, 0.7810, 0.2190, 0.1342, 0.0765, 312.41
96, 0.4289, 0.7817, 0.2183, 0.1343, 0.0763, 312.29
97, 0.4255, 0.7826, 0.2174, 0.1326, 0.0755, 312.59
98, 0.4263, 0.7825, 0.2175, 0.1331, 0.0757, 312.33
99, 0.4217, 0.7841, 0.2159, 0.1312, 0.0746, 312.85
100, 0.4196, 0.7849, 0.2151, 0.1304, 0.0742, 319.29
101, 0.4205, 0.7848, 0.2152, 0.1309, 0.0744, 321.27
102, 0.4200, 0.7847, 0.2153, 0.1305, 0.0742, 324.59
103, 0.4193, 0.7852, 0.2148, 0.1304, 0.0741, 322.12
104, 0.4211, 0.7857, 0.2143, 0.1316, 0.0751, 320.30
105, 0.4171, 0.7865, 0.2135, 0.1299, 0.0737, 323.34
106, 0.4147, 0.7872, 0.2128, 0.1288, 0.0730, 323.30
107, 0.4179, 0.7864, 0.2136, 0.1301, 0.0741, 320.48
108, 0.4152, 0.7872, 0.2128, 0.1292, 0.0732, 322.03
109, 0.4136, 0.7880, 0.2120, 0.1286, 0.0730, 324.70
110, 0.4132, 0.7881, 0.2119, 0.1284, 0.0729, 319.97
111, 0.4160, 0.7876, 0.2124, 0.1298, 0.0738, 321.08
112, 0.4138, 0.7884, 0.2116, 0.1291, 0.0732, 325.05
113, 0.4080, 0.7903, 0.2097, 0.1266, 0.0716, 320.37
114, 0.4113, 0.7893, 0.2107, 0.1279, 0.0727, 320.82
115, 0.4066, 0.7909, 0.2091, 0.1261, 0.0714, 324.94
116, 0.4085, 0.7902, 0.2098, 0.1267, 0.0720, 321.35
117, 0.4063, 0.7911, 0.2089, 0.1260, 0.0714, 320.47
118, 0.4051, 0.7914, 0.2086, 0.1254, 0.0711, 324.33
119, 0.4031, 0.7920, 0.2080, 0.1247, 0.0705, 322.13
120, 0.4031, 0.7923, 0.2077, 0.1248, 0.0706, 319.82
121, 0.4014, 0.7931, 0.2069, 0.1242, 0.0703, 323.73
122, 0.4023, 0.7931, 0.2069, 0.1247, 0.0707, 323.17
123, 0.3999, 0.7935, 0.2065, 0.1235, 0.0699, 320.74
124, 0.3992, 0.7939, 0.2061, 0.1233, 0.0698, 322.93
125, 0.3981, 0.7946, 0.2054, 0.1231, 0.0697, 323.76
126, 0.3995, 0.7943, 0.2057, 0.1237, 0.0701, 319.73
127, 0.3968, 0.7952, 0.2048, 0.1226, 0.0693, 314.42
128, 0.3971, 0.7950, 0.2050, 0.1227, 0.0694, 328.38
129, 0.3987, 0.7947, 0.2053, 0.1235, 0.0699, 320.94
