Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
103, 0.3361, 0.8018, 0.1982, 0.1379, 253.17
104, 0.3361, 0.8020, 0.1980, 0.1380, 253.46
105, 0.3354, 0.8026, 0.1974, 0.1380, 253.33
106, 0.3331, 0.8034, 0.1966, 0.1366, 253.45
107, 0.3333, 0.8035, 0.1965, 0.1368, 252.62
108, 0.3321, 0.8039, 0.1961, 0.1360, 252.49
109, 0.3315, 0.8042, 0.1958, 0.1357, 253.05
110, 0.3291, 0.8057, 0.1943, 0.1348, 253.25
111, 0.3290, 0.8057, 0.1943, 0.1348, 252.70
112, 0.3303, 0.8050, 0.1950, 0.1353, 253.60
113, 0.3298, 0.8052, 0.1948, 0.1351, 253.26
114, 0.3304, 0.8054, 0.1946, 0.1358, 252.63
115, 0.3261, 0.8069, 0.1931, 0.1330, 253.28
116, 0.3279, 0.8069, 0.1931, 0.1348, 253.25
117, 0.3262, 0.8070, 0.1930, 0.1332, 253.49
118, 0.3271, 0.8072, 0.1928, 0.1343, 253.11
119, 0.3257, 0.8073, 0.1927, 0.1330, 251.93
120, 0.3219, 0.8090, 0.1910, 0.1309, 252.99
121, 0.3238, 0.8082, 0.1918, 0.1320, 253.16
122, 0.3237, 0.8087, 0.1913, 0.1324, 252.62
123, 0.3213, 0.8094, 0.1906, 0.1307, 253.46
124, 0.3225, 0.8090, 0.1910, 0.1315, 253.21
125, 0.3196, 0.8105, 0.1895, 0.1301, 253.43
126, 0.3198, 0.8107, 0.1893, 0.1305, 248.78
127, 0.3190, 0.8107, 0.1893, 0.1297, 251.58
128, 0.3189, 0.8108, 0.1892, 0.1297, 249.86
129, 0.3181, 0.8112, 0.1888, 0.1293, 254.35
130, 0.3177, 0.8117, 0.1883, 0.1294, 286.35
131, 0.3158, 0.8128, 0.1872, 0.1286, 282.05
132, 0.3163, 0.8122, 0.1878, 0.1285, 251.95
133, 0.3150, 0.8127, 0.1873, 0.1278, 250.91
134, 0.3160, 0.8128, 0.1872, 0.1288, 251.06
135, 0.3156, 0.8128, 0.1872, 0.1285, 285.58
136, 0.3137, 0.8134, 0.1866, 0.1271, 284.24
137, 0.3136, 0.8135, 0.1865, 0.1271, 283.75
138, 0.3138, 0.8137, 0.1863, 0.1275, 284.11
139, 0.3134, 0.8139, 0.1861, 0.1273, 285.24
140, 0.3116, 0.8146, 0.1854, 0.1262, 285.57
141, 0.3121, 0.8145, 0.1855, 0.1267, 285.30
142, 0.3098, 0.8157, 0.1843, 0.1256, 286.12
143, 0.3091, 0.8158, 0.1842, 0.1249, 285.33
144, 0.3115, 0.8151, 0.1849, 0.1266, 285.36
145, 0.3105, 0.8153, 0.1847, 0.1258, 286.20
146, 0.3076, 0.8167, 0.1833, 0.1243, 282.49
147, 0.3087, 0.8163, 0.1837, 0.1251, 284.69
148, 0.3077, 0.8165, 0.1835, 0.1242, 286.31
149, 0.3081, 0.8165, 0.1835, 0.1246, 285.72
150, 0.3081, 0.8170, 0.1830, 0.1252, 286.76
151, 0.3057, 0.8174, 0.1826, 0.1231, 285.49
152, 0.3057, 0.8177, 0.1823, 0.1234, 286.32
153, 0.3061, 0.8177, 0.1823, 0.1238, 286.04
154, 0.3072, 0.8173, 0.1827, 0.1246, 285.77
155, 0.3042, 0.8183, 0.1817, 0.1225, 285.92
156, 0.3075, 0.8172, 0.1828, 0.1247, 285.42
157, 0.3038, 0.8187, 0.1813, 0.1224, 285.08
158, 0.3029, 0.8192, 0.1808, 0.1221, 285.88
159, 0.3032, 0.8191, 0.1809, 0.1223, 285.17
160, 0.3038, 0.8188, 0.1812, 0.1226, 286.65
161, 0.3020, 0.8197, 0.1803, 0.1217, 285.66
162, 0.3008, 0.8203, 0.1797, 0.1211, 284.70
163, 0.3014, 0.8199, 0.1801, 0.1213, 286.81
164, 0.2997, 0.8207, 0.1793, 0.1204, 285.38
165, 0.3006, 0.8203, 0.1797, 0.1209, 286.64
166, 0.2987, 0.8210, 0.1790, 0.1197, 285.65
167, 0.2973, 0.8219, 0.1781, 0.1192, 285.56
168, 0.2987, 0.8215, 0.1785, 0.1202, 287.07
169, 0.2978, 0.8217, 0.1783, 0.1195, 285.59
170, 0.2969, 0.8221, 0.1779, 0.1190, 286.43
171, 0.2988, 0.8215, 0.1785, 0.1204, 286.15
172, 0.2966, 0.8224, 0.1776, 0.1190, 286.22
173, 0.2967, 0.8224, 0.1776, 0.1190, 286.15
174, 0.2975, 0.8223, 0.1777, 0.1198, 287.39
175, 0.2957, 0.8229, 0.1771, 0.1185, 287.58
176, 0.2959, 0.8228, 0.1772, 0.1187, 286.78
177, 0.2952, 0.8230, 0.1770, 0.1182, 285.75
178, 0.2962, 0.8230, 0.1770, 0.1191, 286.43
179, 0.2955, 0.8232, 0.1768, 0.1188, 286.17
180, 0.2933, 0.8240, 0.1760, 0.1173, 287.17
181, 0.2936, 0.8241, 0.1759, 0.1176, 286.59
182, 0.2939, 0.8239, 0.1761, 0.1178, 287.09
183, 0.2918, 0.8247, 0.1753, 0.1165, 285.58
184, 0.2934, 0.8245, 0.1755, 0.1179, 286.78
185, 0.2913, 0.8252, 0.1748, 0.1166, 285.78
186, 0.2920, 0.8248, 0.1752, 0.1169, 287.91
