Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8062, 0.3828, 0.6172, 0.7762, 0.4127, 263.95
2, 1.1292, 0.5294, 0.4706, 0.4432, 0.2154, 261.12
3, 0.9526, 0.5894, 0.4106, 0.3737, 0.1683, 261.15
4, 0.8591, 0.6270, 0.3730, 0.3395, 0.1467, 261.24
5, 0.8019, 0.6507, 0.3493, 0.3188, 0.1339, 261.31
6, 0.7622, 0.6665, 0.3335, 0.3033, 0.1254, 261.25
7, 0.7340, 0.6781, 0.3219, 0.2924, 0.1197, 261.50
8, 0.7117, 0.6862, 0.3138, 0.2825, 0.1154, 261.61
9, 0.6926, 0.6938, 0.3062, 0.2749, 0.1116, 261.24
10, 0.6795, 0.6992, 0.3008, 0.2697, 0.1090, 261.06
11, 0.6672, 0.7036, 0.2964, 0.2642, 0.1066, 261.27
12, 0.6537, 0.7077, 0.2923, 0.2575, 0.1039, 261.35
13, 0.6433, 0.7119, 0.2881, 0.2533, 0.1018, 261.03
14, 0.6313, 0.7156, 0.2844, 0.2475, 0.0993, 261.31
15, 0.6247, 0.7178, 0.2822, 0.2443, 0.0982, 261.53
16, 0.6131, 0.7218, 0.2782, 0.2388, 0.0961, 261.24
17, 0.6099, 0.7237, 0.2763, 0.2382, 0.0954, 261.31
18, 0.5980, 0.7269, 0.2731, 0.2318, 0.0932, 261.41
19, 0.5934, 0.7290, 0.2710, 0.2301, 0.0923, 261.41
20, 0.5857, 0.7314, 0.2686, 0.2264, 0.0907, 261.21
21, 0.5815, 0.7328, 0.2672, 0.2241, 0.0902, 261.39
22, 0.5766, 0.7349, 0.2651, 0.2223, 0.0891, 261.29
23, 0.5703, 0.7368, 0.2632, 0.2191, 0.0880, 261.24
24, 0.5673, 0.7384, 0.2616, 0.2182, 0.0875, 261.57
25, 0.5602, 0.7406, 0.2594, 0.2146, 0.0862, 261.45
26, 0.5552, 0.7422, 0.2578, 0.2122, 0.0852, 261.19
27, 0.5492, 0.7441, 0.2559, 0.2093, 0.0841, 261.24
28, 0.5484, 0.7450, 0.2550, 0.2094, 0.0840, 261.20
29, 0.5442, 0.7467, 0.2533, 0.2076, 0.0833, 261.33
30, 0.5385, 0.7482, 0.2518, 0.2046, 0.0822, 261.33
31, 0.5375, 0.7494, 0.2506, 0.2047, 0.0822, 261.28
32, 0.5306, 0.7509, 0.2491, 0.2007, 0.0808, 261.02
33, 0.5274, 0.7522, 0.2478, 0.1993, 0.0804, 261.21
34, 0.5255, 0.7532, 0.2468, 0.1987, 0.0799, 261.32
35, 0.5175, 0.7556, 0.2444, 0.1946, 0.0784, 261.26
36, 0.5184, 0.7557, 0.2443, 0.1955, 0.0786, 261.07
37, 0.5133, 0.7575, 0.2425, 0.1932, 0.0776, 260.99
38, 0.5118, 0.7584, 0.2416, 0.1927, 0.0775, 261.06
39, 0.5065, 0.7599, 0.2401, 0.1898, 0.0765, 261.42
40, 0.5069, 0.7601, 0.2399, 0.1905, 0.0766, 261.02
41, 0.5025, 0.7612, 0.2388, 0.1878, 0.0759, 261.00
42, 0.5001, 0.7626, 0.2374, 0.1872, 0.0754, 260.96
43, 0.4949, 0.7637, 0.2363, 0.1841, 0.0745, 261.04
44, 0.4957, 0.7642, 0.2358, 0.1851, 0.0748, 261.50
