Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
1, 0.9404, 0.3864, 0.6136, 0.7849, -0.4581, 495.77
2, 0.3137, 0.5411, 0.4589, 0.4448, -0.5900, 516.32
3, 0.1335, 0.6046, 0.3954, 0.3777, -0.6397, 516.49
4, 0.0443, 0.6386, 0.3614, 0.3466, -0.6638, 516.41
5, -0.0115, 0.6595, 0.3405, 0.3265, -0.6785, 515.81
6, -0.0484, 0.6732, 0.3268, 0.3125, -0.6876, 516.34
7, -0.0773, 0.6839, 0.3161, 0.3012, -0.6946, 516.66
8, -0.0988, 0.6912, 0.3088, 0.2924, -0.7001, 516.78
9, -0.1183, 0.6982, 0.3018, 0.2849, -0.7049, 516.36
10, -0.1330, 0.7035, 0.2965, 0.2795, -0.7090, 516.35
11, -0.1463, 0.7079, 0.2921, 0.2740, -0.7124, 516.22
12, -0.1592, 0.7116, 0.2884, 0.2681, -0.7157, 517.35
13, -0.1708, 0.7158, 0.2842, 0.2639, -0.7188, 516.71
14, -0.1822, 0.7193, 0.2807, 0.2583, -0.7213, 516.38
15, -0.1892, 0.7216, 0.2784, 0.2556, -0.7233, 516.32
16, -0.2014, 0.7254, 0.2746, 0.2500, -0.7260, 516.13
17, -0.2073, 0.7275, 0.2725, 0.2480, -0.7278, 516.20
18, -0.2182, 0.7309, 0.2691, 0.2430, -0.7304, 516.43
19, -0.2229, 0.7329, 0.2671, 0.2420, -0.7319, 515.87
20, -0.2310, 0.7351, 0.2649, 0.2377, -0.7336, 516.23
21, -0.2365, 0.7366, 0.2634, 0.2351, -0.7350, 516.39
22, -0.2422, 0.7386, 0.2614, 0.2334, -0.7370, 515.95
23, -0.2491, 0.7405, 0.2595, 0.2303, -0.7389, 515.48
24, -0.2544, 0.7426, 0.2574, 0.2282, -0.7400, 516.85
25, -0.2616, 0.7447, 0.2553, 0.2250, -0.7419, 516.66
26, -0.2673, 0.7462, 0.2538, 0.2222, -0.7434, 516.77
27, -0.2730, 0.7482, 0.2518, 0.2199, -0.7447, 516.56
28, -0.2752, 0.7491, 0.2509, 0.2196, -0.7456, 516.33
29, -0.2787, 0.7504, 0.2496, 0.2186, -0.7469, 516.95
30, -0.2853, 0.7523, 0.2477, 0.2151, -0.7482, 516.89
31, -0.2862, 0.7530, 0.2470, 0.2157, -0.7489, 516.52
32, -0.2927, 0.7546, 0.2454, 0.2123, -0.7504, 516.61
33, -0.2981, 0.7561, 0.2439, 0.2093, -0.7513, 516.65
34, -0.2989, 0.7570, 0.2430, 0.2102, -0.7522, 547.79
35, -0.3080, 0.7593, 0.2407, 0.2057, -0.7544, 569.88
36, -0.3082, 0.7596, 0.2404, 0.2058, -0.7544, 569.89
37, -0.3131, 0.7613, 0.2387, 0.2039, -0.7557, 569.01
38, -0.3148, 0.7621, 0.2379, 0.2036, -0.7564, 573.43
39, -0.3212, 0.7639, 0.2361, 0.2005, -0.7579, 568.74
40, -0.3207, 0.7638, 0.2362, 0.2014, -0.7583, 568.82
41, -0.3254, 0.7650, 0.2350, 0.1984, -0.7588, 569.25
42, -0.3288, 0.7662, 0.2338, 0.1972, -0.7598, 572.13
43, -0.3326, 0.7673, 0.2327, 0.1954, -0.7607, 572.28
44, -0.3324, 0.7675, 0.2325, 0.1965, -0.7614, 572.36
45, -0.3389, 0.7696, 0.2304, 0.1932, -0.7626, 573.32
46, -0.3393, 0.7698, 0.2302, 0.1934, -0.7630, 573.71
47, -0.3432, 0.7711, 0.2289, 0.1917, -0.7638, 574.35
48, -0.3464, 0.7723, 0.2277, 0.1910, -0.7651, 574.18
49, -0.3512, 0.7736, 0.2264, 0.1881, -0.7658, 573.18
50, -0.3530, 0.7741, 0.2259, 0.1872, -0.7661, 578.09
51, -0.3547, 0.7746, 0.2254, 0.1871, -0.7672, 573.59
52, -0.3566, 0.7752, 0.2248, 0.1860, -0.7673, 575.77
53, -0.3583, 0.7757, 0.2243, 0.1853, -0.7679, 578.00
54, -0.3633, 0.7777, 0.2223, 0.1831, -0.7688, 580.74
55, -0.3656, 0.7783, 0.2217, 0.1826, -0.7699, 576.37
56, -0.3681, 0.7790, 0.2210, 0.1810, -0.7701, 571.47
57, -0.3707, 0.7800, 0.2200, 0.1804, -0.7712, 569.22
58, -0.3709, 0.7799, 0.2201, 0.1802, -0.7712, 575.80
59, -0.3743, 0.7813, 0.2187, 0.1794, -0.7723, 575.23
60, -0.3737, 0.7812, 0.2188, 0.1800, -0.7725, 576.03
61, -0.3755, 0.7819, 0.2181, 0.1793, -0.7730, 575.54
62, -0.3817, 0.7835, 0.2165, 0.1759, -0.7741, 577.41
63, -0.3818, 0.7836, 0.2164, 0.1759, -0.7741, 574.48
64, -0.3833, 0.7842, 0.2158, 0.1753, -0.7745, 575.19
65, -0.3851, 0.7849, 0.2151, 0.1754, -0.7756, 575.86
66, -0.3887, 0.7857, 0.2143, 0.1729, -0.7759, 575.42
67, -0.3902, 0.7862, 0.2138, 0.1725, -0.7764, 573.83
68, -0.3912, 0.7866, 0.2134, 0.1719, -0.7765, 573.22
69, -0.3929, 0.7875, 0.2125, 0.1720, -0.7774, 568.87
70, -0.3927, 0.7873, 0.2127, 0.1720, -0.7773, 570.12
71, -0.3949, 0.7880, 0.2120, 0.1712, -0.7781, 577.90
72, -0.3970, 0.7889, 0.2111, 0.1706, -0.7787, 570.90
73, -0.4008, 0.7899, 0.2101, 0.1684, -0.7794, 570.15
74, -0.4010, 0.7902, 0.2098, 0.1686, -0.7794, 573.10
