Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8769, 0.3570, 0.6430, 0.8099, 0.4241, 314.82
2, 1.2036, 0.4943, 0.5057, 0.4638, 0.2341, 312.89
3, 1.0292, 0.5525, 0.4475, 0.3802, 0.2014, 313.43
4, 0.9318, 0.5897, 0.4103, 0.3370, 0.1845, 313.19
5, 0.8742, 0.6130, 0.3870, 0.3129, 0.1742, 313.57
6, 0.8287, 0.6305, 0.3695, 0.2938, 0.1654, 313.48
7, 0.7961, 0.6441, 0.3559, 0.2806, 0.1597, 313.32
8, 0.7744, 0.6522, 0.3478, 0.2720, 0.1546, 312.97
9, 0.7516, 0.6609, 0.3391, 0.2626, 0.1498, 313.20
10, 0.7347, 0.6673, 0.3327, 0.2555, 0.1465, 315.56
11, 0.7193, 0.6728, 0.3272, 0.2491, 0.1430, 324.41
12, 0.7060, 0.6777, 0.3223, 0.2437, 0.1400, 323.64
13, 0.6950, 0.6819, 0.3181, 0.2390, 0.1379, 321.85
14, 0.6840, 0.6864, 0.3136, 0.2347, 0.1357, 322.86
15, 0.6719, 0.6893, 0.3107, 0.2294, 0.1318, 325.28
16, 0.6613, 0.6931, 0.3069, 0.2247, 0.1297, 323.62
17, 0.6534, 0.6964, 0.3036, 0.2218, 0.1281, 322.62
18, 0.6448, 0.6991, 0.3009, 0.2180, 0.1258, 324.14
19, 0.6364, 0.7022, 0.2978, 0.2145, 0.1241, 322.23
20, 0.6299, 0.7046, 0.2954, 0.2119, 0.1227, 320.79
21, 0.6265, 0.7059, 0.2941, 0.2108, 0.1217, 326.88
22, 0.6158, 0.7094, 0.2906, 0.2059, 0.1193, 323.86
23, 0.6101, 0.7113, 0.2887, 0.2038, 0.1177, 321.70
24, 0.6052, 0.7134, 0.2866, 0.2018, 0.1169, 324.92
25, 0.5992, 0.7156, 0.2844, 0.1993, 0.1156, 323.80
26, 0.5971, 0.7168, 0.2832, 0.1990, 0.1149, 321.00
27, 0.5869, 0.7194, 0.2806, 0.1941, 0.1122, 328.11
28, 0.5828, 0.7212, 0.2788, 0.1927, 0.1113, 324.30
29, 0.5804, 0.7224, 0.2776, 0.1919, 0.1109, 321.43
30, 0.5735, 0.7249, 0.2751, 0.1889, 0.1094, 322.40
31, 0.5722, 0.7256, 0.2744, 0.1886, 0.1091, 328.58
32, 0.5652, 0.7278, 0.2722, 0.1859, 0.1072, 321.89
33, 0.5630, 0.7287, 0.2713, 0.1849, 0.1069, 324.20
34, 0.5567, 0.7309, 0.2691, 0.1822, 0.1054, 325.30
35, 0.5555, 0.7316, 0.2684, 0.1820, 0.1051, 318.35
36, 0.5503, 0.7332, 0.2668, 0.1799, 0.1036, 321.47
37, 0.5498, 0.7339, 0.2661, 0.1797, 0.1040, 326.29
38, 0.5432, 0.7360, 0.2640, 0.1772, 0.1020, 323.16
39, 0.5392, 0.7373, 0.2627, 0.1753, 0.1013, 320.61
40, 0.5350, 0.7388, 0.2612, 0.1737, 0.1001, 323.61
41, 0.5309, 0.7402, 0.2598, 0.1720, 0.0991, 323.67
42, 0.5277, 0.7415, 0.2585, 0.1707, 0.0985, 327.93
43, 0.5254, 0.7428, 0.2572, 0.1701, 0.0980, 322.90
44, 0.5238, 0.7431, 0.2569, 0.1694, 0.0975, 324.81
45, 0.5194, 0.7446, 0.2554, 0.1674, 0.0966, 322.71
46, 0.5146, 0.7462, 0.2538, 0.1654, 0.0954, 325.46
47, 0.5162, 0.7464, 0.2536, 0.1665, 0.0961, 325.45
48, 0.5128, 0.7475, 0.2525, 0.1653, 0.0951, 321.66
49, 0.5076, 0.7496, 0.2504, 0.1632, 0.0940, 320.96
50, 0.5067, 0.7499, 0.2501, 0.1629, 0.0937, 324.75
51, 0.5016, 0.7514, 0.2486, 0.1606, 0.0924, 322.68
52, 0.5030, 0.7515, 0.2485, 0.1615, 0.0929, 320.83
53, 0.4989, 0.7532, 0.2468, 0.1599, 0.0922, 323.90
54, 0.4965, 0.7539, 0.2461, 0.1590, 0.0914, 323.78
55, 0.4947, 0.7544, 0.2456, 0.1582, 0.0909, 321.06
56, 0.4912, 0.7559, 0.2441, 0.1570, 0.0902, 323.14
57, 0.4904, 0.7562, 0.2438, 0.1566, 0.0900, 324.07
58, 0.4856, 0.7578, 0.2422, 0.1546, 0.0888, 325.01
59, 0.4821, 0.7592, 0.2408, 0.1532, 0.0881, 322.09
60, 0.4823, 0.7591, 0.2409, 0.1535, 0.0880, 334.41
61, 0.4796, 0.7605, 0.2395, 0.1526, 0.0875, 319.74
62, 0.4771, 0.7611, 0.2389, 0.1514, 0.0868, 321.14
63, 0.4775, 0.7615, 0.2385, 0.1518, 0.0872, 327.63
64, 0.4754, 0.7622, 0.2378, 0.1510, 0.0866, 321.72
65, 0.4735, 0.7631, 0.2369, 0.1504, 0.0862, 320.42
66, 0.4692, 0.7645, 0.2355, 0.1487, 0.0851, 324.49
67, 0.4708, 0.7642, 0.2358, 0.1493, 0.0856, 322.33
68, 0.4708, 0.7647, 0.2353, 0.1497, 0.0858, 320.61
69, 0.4630, 0.7669, 0.2331, 0.1464, 0.0836, 324.13
70, 0.4663, 0.7662, 0.2338, 0.1479, 0.0846, 322.78
71, 0.4620, 0.7678, 0.2322, 0.1461, 0.0836, 320.30
72, 0.4596, 0.7682, 0.2318, 0.1449, 0.0829, 322.64
73, 0.4608, 0.7687, 0.2313, 0.1459, 0.0835, 323.71
74, 0.4583, 0.7692, 0.2308, 0.1447, 0.0828, 321.00
75, 0.4563, 0.7698, 0.2302, 0.1439, 0.0822, 322.09
76, 0.4549, 0.7706, 0.2294, 0.1435, 0.0820, 320.62
77, 0.4549, 0.7708, 0.2292, 0.1436, 0.0821, 320.96
78, 0.4517, 0.7719, 0.2281, 0.1423, 0.0813, 321.31
79, 0.4503, 0.7727, 0.2273, 0.1418, 0.0812, 325.30
80, 0.4475, 0.7736, 0.2264, 0.1408, 0.0804, 320.55
81, 0.4461, 0.7738, 0.2262, 0.1400, 0.0799, 320.87
82, 0.4467, 0.7739, 0.2261, 0.1404, 0.0802, 325.90
83, 0.4446, 0.7749, 0.2251, 0.1397, 0.0798, 316.43
84, 0.4420, 0.7758, 0.2242, 0.1386, 0.0791, 314.09
85, 0.4394, 0.7765, 0.2235, 0.1376, 0.0784, 312.54
86, 0.4421, 0.7766, 0.2234, 0.1391, 0.0795, 313.04
87, 0.4374, 0.7779, 0.2221, 0.1371, 0.0782, 312.71
88, 0.4408, 0.7771, 0.2229, 0.1386, 0.0792, 313.12
89, 0.4336, 0.7788, 0.2212, 0.1355, 0.0770, 312.49
90, 0.4362, 0.7785, 0.2215, 0.1367, 0.0780, 313.11
91, 0.4342, 0.7795, 0.2205, 0.1360, 0.0776, 311.92
92, 0.4323, 0.7799, 0.2201, 0.1352, 0.0770, 311.15
93, 0.4306, 0.7807, 0.2193, 0.1347, 0.0766, 312.40
94, 0.4299, 0.7813, 0.2187, 0.1345, 0.0766, 312.31
95, 0.4273, 0.7822, 0.2178, 0.1335, 0.0760, 312.64
96, 0.4270, 0.7821, 0.2179, 0.1333, 0.0758, 312.42
97, 0.4247, 0.7830, 0.2170, 0.1324, 0.0753, 312.45
98, 0.4270, 0.7826, 0.2174, 0.1336, 0.0761, 312.67
99, 0.4225, 0.7842, 0.2158, 0.1318, 0.0749, 314.23
100, 0.4213, 0.7844, 0.2156, 0.1313, 0.0745, 324.15
101, 0.4195, 0.7850, 0.2150, 0.1304, 0.0741, 323.12
102, 0.4212, 0.7850, 0.2150, 0.1315, 0.0747, 320.75
103, 0.4231, 0.7846, 0.2154, 0.1323, 0.0754, 322.66
104, 0.4184, 0.7858, 0.2142, 0.1303, 0.0740, 323.60
105, 0.4161, 0.7869, 0.2131, 0.1295, 0.0735, 320.28
106, 0.4153, 0.7871, 0.2129, 0.1291, 0.0733, 322.21
107, 0.4158, 0.7872, 0.2128, 0.1294, 0.0736, 324.43
108, 0.4142, 0.7877, 0.2123, 0.1287, 0.0731, 320.64
109, 0.4161, 0.7875, 0.2125, 0.1299, 0.0737, 320.88
110, 0.4123, 0.7884, 0.2116, 0.1281, 0.0727, 324.80
111, 0.4116, 0.7890, 0.2110, 0.1280, 0.0726, 320.77
112, 0.4112, 0.7889, 0.2111, 0.1277, 0.0724, 320.53
113, 0.4100, 0.7895, 0.2105, 0.1273, 0.0722, 324.60
114, 0.4079, 0.7904, 0.2096, 0.1266, 0.0718, 322.09
115, 0.4061, 0.7911, 0.2089, 0.1259, 0.0713, 320.32
116, 0.4063, 0.7912, 0.2088, 0.1261, 0.0714, 323.64
117, 0.4059, 0.7914, 0.2086, 0.1259, 0.0713, 322.74
118, 0.4062, 0.7916, 0.2084, 0.1262, 0.0716, 320.43
119, 0.4036, 0.7922, 0.2078, 0.1251, 0.0708, 322.56
120, 0.4057, 0.7923, 0.2077, 0.1262, 0.0718, 323.63
121, 0.4059, 0.7921, 0.2079, 0.1263, 0.0717, 320.51
122, 0.4005, 0.7935, 0.2065, 0.1239, 0.0701, 322.57
123, 0.4022, 0.7933, 0.2067, 0.1248, 0.0708, 324.61
124, 0.3997, 0.7937, 0.2063, 0.1236, 0.0698, 320.46
125, 0.4009, 0.7937, 0.2063, 0.1242, 0.0704, 321.80
126, 0.3982, 0.7948, 0.2052, 0.1232, 0.0697, 331.92
127, 0.3952, 0.7960, 0.2040, 0.1222, 0.0690, 338.45
128, 0.3972, 0.7950, 0.2050, 0.1228, 0.0694, 320.86
129, 0.3941, 0.7964, 0.2036, 0.1217, 0.0687, 324.48
130, 0.3975, 0.7954, 0.2046, 0.1232, 0.0698, 351.89
131, 0.3943, 0.7963, 0.2037, 0.1218, 0.0689, 356.34
132, 0.3905, 0.7976, 0.2024, 0.1203, 0.0678, 354.03
133, 0.3937, 0.7967, 0.2033, 0.1216, 0.0688, 324.69
134, 0.3963, 0.7964, 0.2036, 0.1230, 0.0698, 321.75
135, 0.3913, 0.7976, 0.2024, 0.1208, 0.0681, 320.26
136, 0.3922, 0.7975, 0.2025, 0.1211, 0.0685, 323.56
137, 0.3905, 0.7980, 0.2020, 0.1204, 0.0680, 344.12
138, 0.3894, 0.7982, 0.2018, 0.1199, 0.0677, 328.86
139, 0.3885, 0.7989, 0.2011, 0.1198, 0.0677, 332.81
140, 0.3880, 0.7988, 0.2012, 0.1195, 0.0674, 325.41
141, 0.3855, 0.8000, 0.2000, 0.1187, 0.0669, 312.52
142, 0.3889, 0.7991, 0.2009, 0.1201, 0.0679, 318.22
143, 0.3848, 0.8002, 0.1998, 0.1184, 0.0667, 330.62
144, 0.3846, 0.8006, 0.1994, 0.1184, 0.0668, 313.06
145, 0.3838, 0.8007, 0.1993, 0.1180, 0.0665, 312.72
146, 0.3819, 0.8015, 0.1985, 0.1173, 0.0661, 312.58
147, 0.3851, 0.8009, 0.1991, 0.1188, 0.0673, 312.71
148, 0.3839, 0.8013, 0.1987, 0.1183, 0.0668, 331.30
149, 0.3819, 0.8016, 0.1984, 0.1174, 0.0661, 312.52
