Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
1, 1.4041, 0.3778, 0.6222, 0.7819, 299.80
2, 0.9158, 0.5249, 0.4751, 0.4407, 252.06
3, 0.7810, 0.5866, 0.4134, 0.3676, 250.37
4, 0.7068, 0.6240, 0.3760, 0.3308, 248.55
5, 0.6648, 0.6459, 0.3541, 0.3107, 225.14
6, 0.6322, 0.6619, 0.3381, 0.2941, 242.24
7, 0.6094, 0.6740, 0.3260, 0.2834, 224.45
8, 0.5939, 0.6812, 0.3188, 0.2750, 249.83
9, 0.5780, 0.6890, 0.3110, 0.2670, 251.46
10, 0.5658, 0.6945, 0.3055, 0.2603, 250.15
11, 0.5555, 0.6995, 0.3005, 0.2550, 249.43
12, 0.5454, 0.7039, 0.2961, 0.2493, 254.44
13, 0.5376, 0.7076, 0.2924, 0.2453, 249.78
14, 0.5291, 0.7118, 0.2882, 0.2409, 251.53
15, 0.5211, 0.7146, 0.2854, 0.2357, 248.90
16, 0.5144, 0.7179, 0.2821, 0.2323, 276.31
17, 0.5082, 0.7206, 0.2794, 0.2289, 295.19
18, 0.5022, 0.7232, 0.2768, 0.2254, 305.55
19, 0.4962, 0.7258, 0.2742, 0.2220, 294.05
20, 0.4913, 0.7281, 0.2719, 0.2194, 294.25
21, 0.4890, 0.7294, 0.2706, 0.2184, 294.66
22, 0.4812, 0.7326, 0.2674, 0.2138, 279.86
23, 0.4777, 0.7342, 0.2658, 0.2120, 264.35
24, 0.4736, 0.7362, 0.2638, 0.2098, 254.74
25, 0.4697, 0.7381, 0.2619, 0.2078, 255.66
26, 0.4679, 0.7394, 0.2606, 0.2072, 253.57
27, 0.4618, 0.7414, 0.2586, 0.2033, 256.16
28, 0.4574, 0.7433, 0.2567, 0.2007, 255.43
29, 0.4562, 0.7442, 0.2558, 0.2004, 254.97
30, 0.4508, 0.7466, 0.2534, 0.1974, 272.96
31, 0.4493, 0.7474, 0.2526, 0.1967, 249.99
32, 0.4451, 0.7493, 0.2507, 0.1944, 250.14
33, 0.4428, 0.7504, 0.2496, 0.1932, 251.90
34, 0.4391, 0.7521, 0.2479, 0.1912, 250.25
35, 0.4376, 0.7529, 0.2471, 0.1904, 250.74
36, 0.4342, 0.7543, 0.2457, 0.1885, 251.48
37, 0.4330, 0.7550, 0.2450, 0.1880, 252.68
38, 0.4279, 0.7572, 0.2428, 0.1850, 251.46
39, 0.4259, 0.7582, 0.2418, 0.1841, 250.78
40, 0.4222, 0.7597, 0.2403, 0.1819, 249.48
41, 0.4192, 0.7607, 0.2393, 0.1800, 250.33
42, 0.4169, 0.7620, 0.2380, 0.1789, 249.53
43, 0.4157, 0.7631, 0.2369, 0.1788, 252.33
44, 0.4138, 0.7637, 0.2363, 0.1775, 251.76
45, 0.4109, 0.7649, 0.2351, 0.1758, 251.77
46, 0.4076, 0.7663, 0.2337, 0.1740, 250.51
47, 0.4084, 0.7666, 0.2334, 0.1749, 243.29
48, 0.4068, 0.7673, 0.2327, 0.1741, 249.95
49, 0.4016, 0.7696, 0.2304, 0.1711, 251.63
50, 0.4009, 0.7699, 0.2301, 0.1708, 248.92
51, 0.3979, 0.7712, 0.2288, 0.1691, 246.62
52, 0.3973, 0.7715, 0.2285, 0.1688, 249.73
53, 0.3968, 0.7724, 0.2276, 0.1692, 248.75
54, 0.3941, 0.7734, 0.2266, 0.1675, 251.53
55, 0.3928, 0.7738, 0.2262, 0.1666, 250.92
56, 0.3890, 0.7755, 0.2245, 0.1645, 252.38
57, 0.3897, 0.7753, 0.2247, 0.1651, 253.91
58, 0.3865, 0.7767, 0.2233, 0.1633, 252.77
59, 0.3831, 0.7782, 0.2218, 0.1612, 252.99
60, 0.3837, 0.7780, 0.2220, 0.1617, 253.43
61, 0.3823, 0.7791, 0.2209, 0.1614, 253.28
62, 0.3805, 0.7796, 0.2204, 0.1601, 253.59
63, 0.3799, 0.7803, 0.2197, 0.1602, 253.37
64, 0.3787, 0.7807, 0.2193, 0.1593, 252.89
65, 0.3761, 0.7819, 0.2181, 0.1580, 251.74
66, 0.3745, 0.7828, 0.2172, 0.1573, 253.07
67, 0.3747, 0.7827, 0.2173, 0.1574, 252.89
