Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8867, 0.3547, 0.6453, 0.8144, 0.4270, 316.10
2, 1.2064, 0.4929, 0.5071, 0.4649, 0.2344, 313.04
3, 1.0320, 0.5512, 0.4488, 0.3813, 0.2019, 313.49
4, 0.9344, 0.5887, 0.4113, 0.3382, 0.1849, 313.10
5, 0.8749, 0.6125, 0.3875, 0.3131, 0.1743, 313.66
6, 0.8327, 0.6293, 0.3707, 0.2955, 0.1664, 313.46
7, 0.8013, 0.6420, 0.3580, 0.2826, 0.1607, 313.33
8, 0.7755, 0.6518, 0.3482, 0.2725, 0.1548, 312.94
9, 0.7566, 0.6592, 0.3408, 0.2646, 0.1511, 313.33
10, 0.7363, 0.6668, 0.3332, 0.2562, 0.1469, 315.80
11, 0.7234, 0.6719, 0.3281, 0.2511, 0.1442, 324.16
12, 0.7089, 0.6765, 0.3235, 0.2448, 0.1406, 323.86
13, 0.6958, 0.6812, 0.3188, 0.2393, 0.1377, 321.19
14, 0.6813, 0.6861, 0.3139, 0.2329, 0.1345, 322.62
15, 0.6752, 0.6886, 0.3114, 0.2310, 0.1328, 325.42
16, 0.6661, 0.6920, 0.3080, 0.2270, 0.1311, 323.72
17, 0.6542, 0.6958, 0.3042, 0.2222, 0.1279, 322.38
18, 0.6469, 0.6985, 0.3015, 0.2190, 0.1264, 329.31
19, 0.6384, 0.7013, 0.2987, 0.2152, 0.1244, 324.95
20, 0.6306, 0.7041, 0.2959, 0.2121, 0.1226, 321.04
21, 0.6241, 0.7063, 0.2937, 0.2096, 0.1208, 326.35
22, 0.6140, 0.7095, 0.2905, 0.2049, 0.1185, 324.20
23, 0.6105, 0.7113, 0.2887, 0.2041, 0.1177, 322.04
24, 0.6051, 0.7135, 0.2865, 0.2018, 0.1168, 323.99
25, 0.6007, 0.7151, 0.2849, 0.2001, 0.1158, 324.35
26, 0.5956, 0.7167, 0.2833, 0.1979, 0.1144, 320.85
27, 0.5866, 0.7201, 0.2799, 0.1943, 0.1124, 327.15
28, 0.5835, 0.7210, 0.2790, 0.1930, 0.1115, 324.73
29, 0.5790, 0.7228, 0.2772, 0.1913, 0.1105, 321.42
30, 0.5704, 0.7252, 0.2748, 0.1874, 0.1082, 322.00
31, 0.5724, 0.7259, 0.2741, 0.1888, 0.1094, 327.74
32, 0.5643, 0.7278, 0.2722, 0.1852, 0.1069, 324.29
